Restaurant_id,Cuisine Style,Ranking,Rating,Price Range,Number of Reviews,URL_TA,ID_TA
id_1418,  Mediterranean,1420,4.5,$,7.0,/Restaurant_Review-g189400-d10122352-Reviews-CENTRO_Coffee_Restaurant-Athens_Attica.html,d10122352
id_1748,American,1750,3.5,$,90.0,/Restaurant_Review-g187323-d6280580-Reviews-McDonald_s-Berlin.html,d6280580
id_1746,  Vegetarian Friendly,1760,4.0,$$ - $$$,55.0,/Restaurant_Review-g187309-d1912599-Reviews-Das_Restaurant_am_Stemmerhof-Munich_Upper_Bavaria_Bavaria.html,d1912599
id_6338,  European,6339,4.0,$$ - $$$,83.0,/Restaurant_Review-g187147-d1904460-Reviews-Le_Magenta-Paris_Ile_de_France.html,d1904460
id_344,  Pizza,345,4.0,$$ - $$$,732.0,/Restaurant_Review-g187849-d2648160-Reviews-Pizzeria_di_Porta_Garibaldi-Milan_Lombardy.html,d2648160
id_194,  Vegetarian Friendly,195,4.0,$$ - $$$,143.0,/Restaurant_Review-g274856-d779167-Reviews-Babooshka-Warsaw_Mazovia_Province_Central_Poland.html,d779167
id_4082,  Gluten Free Options,4084,4.0,$$ - $$$,18.0,/Restaurant_Review-g187323-d7804627-Reviews-Barkett-Berlin.html,d7804627
id_216,  Vegan Options,217,4.5,$$ - $$$,125.0,/Restaurant_Review-g189541-d8121703-Reviews-Stempel_Bar_Kitchen-Copenhagen_Zealand.html,d8121703
id_373,Other,374,4.0,NaN,NaN,/Restaurant_Review-g274873-d8602510-Reviews-Tombstone_Saloon-Ljubljana_Upper_Carniola_Region.html,d8602510
id_85,  Vegan Options,86,4.5,$$ - $$$,441.0,/Restaurant_Review-g187147-d783281-Reviews-Thai_Spices-Paris_Ile_de_France.html,d783281
id_3703,  European,3704,3.5,$$ - $$$,1135.0,/Restaurant_Review-g187147-d5943832-Reviews-Brasserie_L_Alsace-Paris_Ile_de_France.html,d5943832
id_2783,  Pizza,2784,4.0,$,161.0,/Restaurant_Review-g187791-d3567816-Reviews-Il_Gianfornaio-Rome_Lazio.html,d3567816
