547.9,612.26,616.85,404.2,635.09,458.61,458.61,549.53,654.28
301.9,283.21,311.99,366.07,279.64,244.77,305.61,258.36,314.9
26,16,22,15,34,35,35,55,45
AUG,JUN,SEP,MAY,JUL,MAR,APR,JAN,FEB
3540.3,3540.3,3540.3,3540.3,3540.3,3540.3,3540.3,3540.3,3540.3
69.23,60.48,56.84,71.43,59.72,55.82,55.82,65.23,58.94
205.75,205.75,205.75,315.25,205.75,205.75,205.75,196.5,220.0
586,466,447,750,395,657,594,0,310
125,125,125,125,125,125,125,125,125
8541,8541,7521,8541,8541,8541,8541,9654,7521
750,750,750,750,750,750,750,750,750
450,450,450,450,450,450,450,450,450
450.0,348.92,613.98,374.99,831.83,210.0,195.0,0.0,1015.0
