Player Name,Points,Year
Todd May,31,1983-84
1,31,1957-58
Gary Greve,30,1956-57
0,30,1994-95
Todd May,32,1983-84
0,31,1993-94
Mark Losby,34,2000-01
Duane Anderson ,30,0
1,35,1958-59
0,38,1993-94
Max Meylor,31,2015-16
Duane Anderson,38,0
0,34,1994-95
1,31,1958-59
0,33,1994-95
Matt Kleppe,30,1999-00
1,36,1957-58
1,38,1958-59
1,35,1957-58
Milt Bakken,34,1955-56
1,31,1958-59
Todd May,31,1983-84
Duane Anderson ,34,0
Milt Bakken,32,1955-56
Max Meylor,30,2015-16
Mark Emerson,46,1971-72
Milt Bakken,39,1955-56
0,38,1994-95
Jordan Schultz,32,2004-05
Jason Schuepbach    ,34,1995-96
Todd May,33,1983-84
Pete Schmitt,32,2002-03
Gary Greve,35,1956-57
Don Peterson ,47,1980-81
0,30,1993-94
Tim Woller,31,1990-91
Jason Larson,32,2018-19
