"Class 
Number","Gen
Ed",Class,Description,"Credit
Hours",Days,"Begin 
Time","End 
Time",Room,Instructor,"Instruction 
Mode","Start 
Date","End 
Date"
WELDING,,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
44389.0,,MAT 100-A0H4,72,2,2,31,32,41,81,2.0,43696.0,43814.0
ENGLISH,,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,,
MUSIC,,,,,,,,,,,,
HISTORY,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,,
DIESEL TECHNOLOGY,,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,,
FIRE/RESCUE SCIENCE  Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,,
ALLIED HEALTH,,,,,,,,,,,,
ART ,,,,,,,,,,,,
CIS,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
ASTRONOMY,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
OFFICE SYSTEMS TECHNOLOGY,,,,,,,,,,,,
COMPUTER AIDED DRAFTING,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,,
OFFICE SYSTEMS TECHNOLOGY,,,,,,,,,,,,
HEALTHCARE FACILITIES LEADERSHIP,,,,,,,,,,,,
GEOGRAPHY,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
CIS,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
DIESEL TECHNOLOGY,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,,
THEATRE,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
ART ,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
THEATRE,,,,,,,,,,,,
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
VETERINARY TECHNOLOGY,,,,,,,,,,,,
ART ,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
SOCIOLOGY,,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
SURGICAL TECHNOLOGY,,,,,,,,,,,,
SOCIOLOGY,,,,,,,,,,,,
HEALTHCARE FACILITIES LEADERSHIP,,,,,,,,,,,,
CIS,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
ART ,,,,,,,,,,,,
INDUSTRIAL CORE,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
NURSING ASSISTANT,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
MUSIC,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
HISTORY,,,,,,,,,,,,
COMPUTER MANUFACTURING AND MACHINES,,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
EDUCATION,,,,,,,,,,,,
CIS,,,,,,,,,,,,
COMPUTER MANUFACTURING AND MACHINES,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,,,,,,,,,,,,
HISTORY,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
COOPERATIVE EDUCATION,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,
HUMAN SERVICES,,,,,,,,,,,,
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
44768.0,,FYE 100-A014,61,1,5,19,23,17,51,2.0,43696.0,43814.0
COMMUNICATIONS,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
STATISTICS,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
CRIMINAL JUSTICE,,,,,,,,,,,,
 ACCOUNTING ,,,,,,,,,,,,
PHILOSOPHY,,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,,
BLUEPRINT READING ,,,,,,,,,,,,
RELIGIOUS STUDIES,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
COMPUTER MANUFACTURING AND MACHINES,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
CHEMISTRY,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
CIS,,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
45079.0,,ENG 100-A0H1,57,2,0,09:55 AM,29,53,61,2.0,43696.0,43814.0
CIS,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
ART ,,,,,,,,,,,,
CRIMINAL JUSTICE,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
ART ,,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
 ACCOUNTING ,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
DIESEL TECHNOLOGY,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
CIS,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
44687.0,5,PSY 223-A001,93,3,0,5,24,17,97,2.0,43696.0,43814.0
WELDING,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
RELIGIOUS STUDIES,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
54063.0,,BIO 141-A0L1,28,,3,10,03:50 PM,20,24,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
45009.0,,3,9,2,3,9,13,5,6,2.0,43696.0,43814.0
ECONOMICS,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
INDUSTRIAL MANTIENENCE TECHNOLGOY,,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,,
FRENCH LANGUAGE AND LITERATURE,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
EDUCATION,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
MUSIC,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
45365.0,1,BIO 112-A0ZB,22,3,1,1,1,1,23,1.0,43759.0,43814.0
ENGLISH,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
ECONOMICS,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
HISTORY,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
CIS,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
VETERINARY TECHNOLOGY,,,,,,,,,,,,
CIS,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
CIS,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,,
OFFICE SYSTEMS TECHNOLOGY,,,,,,,,,,,,
CHEMISTRY,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
SPANISH LANGUAGE AND LITERATURE,,,,,,,,,,,,
HISTORY,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
OFFICE SYSTEMS TECHNOLOGY,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,,
CIS,,,,,,,,,,,,
FIRE/RESCUE SCIENCE  Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,,
STATISTICS,,,,,,,,,,,,
HEALTHCARE FACILITIES LEADERSHIP,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
INDUSTRIAL MANTIENENCE TECHNOLGOY,,,,,,,,,,,,
RELIGIOUS STUDIES,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
GEOGRAPHY,,,,,,,,,,,,
NURSING ASSISTANT,,,,,,,,,,,,
ART ,,,,,,,,,,,,
HISTORY,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
COMPUTER MANUFACTURING AND MACHINES,,,,,,,,,,,,
POLITICAL SCIENCE,,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
CRIMINAL JUSTICE,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
POLITICAL SCIENCE,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
DIESEL TECHNOLOGY,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
MUSIC,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
HEALTHCARE FACILITIES LEADERSHIP,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
HEALTHCARE FACILITIES LEADERSHIP,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
SURGICAL TECHNOLOGY,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
DIESEL TECHNOLOGY,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,
CHEMISTRY,,,,,,,,,,,,
THEATRE,,,,,,,,,,,,
45007.0,,THA 226-A001,Acting II/Scene Study(Realism),3,1,1,1,4,9,2.0,43696.0,43814.0
NURSING ASSISTANT,,,,,,,,,,,,
SPANISH LANGUAGE AND LITERATURE,,,,,,,,,,,,
HISTORY,,,,,,,,,,,,
ECONOMICS,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
