Category,Description,$,%
Savings,Emergency Fund,0.0,0.0
Expense - Needs,Donation,250.0,0.033796257999999996
Savings,Investment (Rental Prop),449.37786600000004,0.060749162
Expense - Needs,Auto Insurance,100.0,0.013518503000000001
,Auto Exp,225.0,0.030416632000000002
Income,Person 2,3362.3948229999996,0.454545455
Expense - Wants,Entertainment,125.0,0.016898128999999998
Expense - Needs,Rent/Mortgage,1650.0,0.22305530399999998
,Groceries,250.0,0.033796257999999996
,Health Insurance,395.0,0.053398087999999996
,Medical (HSA/FSA),225.0,0.030416632000000002
Savings,401(k),295.89074439999996,0.04
Expense - Wants,Cell Phone,100.0,0.013518503000000001
Expense - Needs,Life Insurance,60.0,0.008111102
Expense - Wants,Cable/Internet,100.0,0.013518503000000001
