Index,popularity,budget,revenue,original_title,genres
0,32.985763,150000000,1513528810,Jurassic World,Action
0,32.985763,150000000,1513528810,Jurassic World,Adventure
0,32.985763,150000000,1513528810,Jurassic World,Science Fiction
0,32.985763,150000000,1513528810,Jurassic World,Thriller
1,28.419936,150000000,378436354,Mad Max: Fury Road,Action
1,28.419936,150000000,378436354,Mad Max: Fury Road,Adventure
1,28.419936,150000000,378436354,Mad Max: Fury Road,Science Fiction
1,28.419936,150000000,378436354,Mad Max: Fury Road,Thriller
2,13.112507,110000000,295238201,Insurgent,Adventure
2,13.112507,110000000,295238201,Insurgent,Science Fiction
2,13.112507,110000000,295238201,Insurgent,Thriller
3,11.173103999999999,200000000,2068178225,Star Wars: The Force Awakens,Action
3,11.173103999999999,200000000,2068178225,Star Wars: The Force Awakens,Adventure
3,11.173103999999999,200000000,2068178225,Star Wars: The Force Awakens,Science Fiction
3,11.173103999999999,200000000,2068178225,Star Wars: The Force Awakens,Fantasy
4,9.335014,190000000,1506249360,Furious 7,Action
4,9.335014,190000000,1506249360,Furious 7,Crime
4,9.335014,190000000,1506249360,Furious 7,Thriller
5,9.1107,135000000,532950503,The Revenant,Western
5,9.1107,135000000,532950503,The Revenant,Drama
5,9.1107,135000000,532950503,The Revenant,Adventure
5,9.1107,135000000,532950503,The Revenant,Thriller
6,8.654359,155000000,440603537,Terminator Genisys,Science Fiction
6,8.654359,155000000,440603537,Terminator Genisys,Action
6,8.654359,155000000,440603537,Terminator Genisys,Thriller
6,8.654359,155000000,440603537,Terminator Genisys,Adventure
7,7.6674,108000000,595380321,The Martian,Drama
7,7.6674,108000000,595380321,The Martian,Adventure
7,7.6674,108000000,595380321,The Martian,Science Fiction
8,7.404164999999999,74000000,1156730962,Minions,Family
8,7.404164999999999,74000000,1156730962,Minions,Animation
8,7.404164999999999,74000000,1156730962,Minions,Adventure
8,7.404164999999999,74000000,1156730962,Minions,Comedy
9,6.326804,175000000,853708609,Inside Out,Comedy
9,6.326804,175000000,853708609,Inside Out,Animation
9,6.326804,175000000,853708609,Inside Out,Family
10,6.200282,245000000,880674609,Spectre,Action
10,6.200282,245000000,880674609,Spectre,Adventure
10,6.200282,245000000,880674609,Spectre,Crime
11,6.189369,176000003,183987723,Jupiter Ascending,Science Fiction
11,6.189369,176000003,183987723,Jupiter Ascending,Fantasy
11,6.189369,176000003,183987723,Jupiter Ascending,Action
11,6.189369,176000003,183987723,Jupiter Ascending,Adventure
12,6.118847,15000000,36869414,Ex Machina,Drama
12,6.118847,15000000,36869414,Ex Machina,Science Fiction
13,5.984995,88000000,243637091,Pixels,Action
13,5.984995,88000000,243637091,Pixels,Comedy
13,5.984995,88000000,243637091,Pixels,Science Fiction
14,5.944927,280000000,1405035767,Avengers: Age of Ultron,Action
14,5.944927,280000000,1405035767,Avengers: Age of Ultron,Adventure
14,5.944927,280000000,1405035767,Avengers: Age of Ultron,Science Fiction
15,5.8984,44000000,155760117,The Hateful Eight,Crime
15,5.8984,44000000,155760117,The Hateful Eight,Drama
15,5.8984,44000000,155760117,The Hateful Eight,Mystery
15,5.8984,44000000,155760117,The Hateful Eight,Western
16,5.749758,48000000,325771424,Taken 3,Crime
16,5.749758,48000000,325771424,Taken 3,Action
16,5.749758,48000000,325771424,Taken 3,Thriller
17,5.5731839999999995,130000000,518602163,Ant-Man,Science Fiction
17,5.5731839999999995,130000000,518602163,Ant-Man,Action
17,5.5731839999999995,130000000,518602163,Ant-Man,Adventure
18,5.556818,95000000,542351353,Cinderella,Romance
18,5.556818,95000000,542351353,Cinderella,Fantasy
18,5.556818,95000000,542351353,Cinderella,Family
18,5.556818,95000000,542351353,Cinderella,Drama
19,5.476958,160000000,650523427,The Hunger Games: Mockingjay - Part 2,War
19,5.476958,160000000,650523427,The Hunger Games: Mockingjay - Part 2,Adventure
19,5.476958,160000000,650523427,The Hunger Games: Mockingjay - Part 2,Science Fiction
20,5.4621379999999995,190000000,209035668,Tomorrowland,Action
20,5.4621379999999995,190000000,209035668,Tomorrowland,Family
20,5.4621379999999995,190000000,209035668,Tomorrowland,Science Fiction
20,5.4621379999999995,190000000,209035668,Tomorrowland,Adventure
20,5.4621379999999995,190000000,209035668,Tomorrowland,Mystery
21,5.337064,30000000,91709827,Southpaw,Action
21,5.337064,30000000,91709827,Southpaw,Drama
22,4.907832,110000000,470490832,San Andreas,Action
22,4.907832,110000000,470490832,San Andreas,Drama
22,4.907832,110000000,470490832,San Andreas,Thriller
23,4.710401999999999,40000000,569651467,Fifty Shades of Grey,Drama
23,4.710401999999999,40000000,569651467,Fifty Shades of Grey,Romance
24,4.648046,28000000,133346506,The Big Short,Comedy
24,4.648046,28000000,133346506,The Big Short,Drama
25,4.566713,150000000,682330139,Mission: Impossible - Rogue Nation,Action
26,4.5645489999999995,68000000,215863606,Ted 2,Comedy
27,4.503789,81000000,403802136,Kingsman: The Secret Service,Crime
27,4.503789,81000000,403802136,Kingsman: The Secret Service,Comedy
27,4.503789,81000000,403802136,Kingsman: The Secret Service,Action
27,4.503789,81000000,403802136,Kingsman: The Secret Service,Adventure
28,4.062293,20000000,88346473,Spotlight,Drama
28,4.062293,20000000,88346473,Spotlight,Thriller
28,4.062293,20000000,88346473,Spotlight,History
29,3.968891,61000000,311256926,Maze Runner: The Scorch Trials,Action
29,3.968891,61000000,311256926,Maze Runner: The Scorch Trials,Science Fiction
29,3.968891,61000000,311256926,Maze Runner: The Scorch Trials,Thriller
30,3.927333,0,29355203,Mr. Holmes,Mystery
30,3.927333,0,29355203,Mr. Holmes,Drama
31,3.899557,49000000,102069268,Chappie,Crime
31,3.899557,49000000,102069268,Chappie,Action
31,3.899557,49000000,102069268,Chappie,Science Fiction
32,3.877764,29000000,287506194,Pitch Perfect 2,Comedy
32,3.877764,29000000,287506194,Pitch Perfect 2,Music
33,3.6482099999999997,40000000,162610473,Bridge of Spies,Thriller
33,3.6482099999999997,40000000,162610473,Bridge of Spies,Drama
34,3.6445410000000003,58000000,150170815,Goosebumps,Adventure
34,3.6445410000000003,58000000,150170815,Goosebumps,Horror
34,3.6445410000000003,58000000,150170815,Goosebumps,Comedy
35,3.557846,6000000,35401758,Room,Drama
35,3.557846,6000000,35401758,Room,Thriller
36,3.358321,0,22354572,Solace,Crime
36,3.358321,0,22354572,Solace,Drama
36,3.358321,0,22354572,Solace,Mystery
37,3.3391349999999997,175000000,331926147,The Good Dinosaur,Adventure
37,3.3391349999999997,175000000,331926147,The Good Dinosaur,Animation
37,3.3391349999999997,175000000,331926147,The Good Dinosaur,Comedy
37,3.3391349999999997,175000000,331926147,The Good Dinosaur,Family
37,3.3391349999999997,175000000,331926147,The Good Dinosaur,Fantasy
38,3.23737,50000000,71561644,Run All Night,Action
38,3.23737,50000000,71561644,Run All Night,Crime
38,3.23737,50000000,71561644,Run All Night,Drama
38,3.23737,50000000,71561644,Run All Night,Mystery
38,3.23737,50000000,71561644,Run All Night,Thriller
39,3.227329,11000000,62076141,Brooklyn,Drama
39,3.227329,11000000,62076141,Brooklyn,Romance
40,3.2027189999999996,28000000,201634991,Straight Outta Compton,Drama
40,3.2027189999999996,28000000,201634991,Straight Outta Compton,Music
41,3.080505,90000000,140396650,The Last Witch Hunter,Fantasy
41,3.080505,90000000,140396650,The Last Witch Hunter,Action
41,3.080505,90000000,140396650,The Last Witch Hunter,Adventure
42,3.0795220000000003,30000000,34441873,Steve Jobs,History
42,3.0795220000000003,30000000,34441873,Steve Jobs,Drama
43,3.0534209999999997,75000000,108145109,The Man from U.N.C.L.E.,Comedy
43,3.0534209999999997,75000000,108145109,The Man from U.N.C.L.E.,Action
43,3.0534209999999997,75000000,108145109,The Man from U.N.C.L.E.,Adventure
44,3.025852,25000000,42629776,The Age of Adaline,Fantasy
44,3.025852,25000000,42629776,The Age of Adaline,Drama
44,3.025852,25000000,42629776,The Age of Adaline,Romance
45,3.023253,10000000,14333790,Hardcore Henry,Action
45,3.023253,10000000,14333790,Hardcore Henry,Adventure
45,3.023253,10000000,14333790,Hardcore Henry,Science Fiction
46,2.976436,135000000,368871007,Home,Fantasy
46,2.976436,135000000,368871007,Home,Comedy
46,2.976436,135000000,368871007,Home,Animation
46,2.976436,135000000,368871007,Home,Science Fiction
46,2.976436,135000000,368871007,Home,Family
47,2.968254,12000000,85512300,Paper Towns,Drama
47,2.968254,12000000,85512300,Paper Towns,Mystery
47,2.968254,12000000,85512300,Paper Towns,Romance
48,2.93234,30000000,0,Wild Card,Thriller
48,2.93234,30000000,0,Wild Card,Crime
48,2.93234,30000000,0,Wild Card,Drama
49,2.8851259999999996,4000000,9064511,The Lobster,Thriller
49,2.8851259999999996,4000000,9064511,The Lobster,Comedy
49,2.8851259999999996,4000000,9064511,The Lobster,Drama
49,2.8851259999999996,4000000,9064511,The Lobster,Romance
49,2.8851259999999996,4000000,9064511,The Lobster,Science Fiction
50,2.883233,11800000,40272135,Carol,Romance
50,2.883233,11800000,40272135,Carol,Drama
51,2.8148020000000002,35000000,194564672,The Intern,Comedy
52,2.7980169999999998,55000000,203427584,Everest,Adventure
52,2.7980169999999998,55000000,203427584,Everest,Drama
53,2.793297,60000000,101134059,Joy,Comedy
53,2.793297,60000000,101134059,Joy,Drama
54,2.6144990000000004,105000000,133718711,Point Break,Action
54,2.6144990000000004,105000000,133718711,Point Break,Crime
54,2.6144990000000004,105000000,133718711,Point Break,Thriller
55,2.584264,20000000,36606743,Burnt,Drama
56,2.578919,26000000,30523226,Self/less,Science Fiction
56,2.578919,26000000,30523226,Self/less,Mystery
56,2.578919,26000000,30523226,Self/less,Thriller
57,2.575711,60000000,30418560,Mortdecai,Comedy
57,2.575711,60000000,30418560,Mortdecai,Adventure
58,2.557859,15000000,64191523,The Danish Girl,Drama
59,2.5507470000000003,70000000,17752940,Blackhat,Mystery
59,2.5507470000000003,70000000,17752940,Blackhat,Crime
59,2.5507470000000003,70000000,17752940,Blackhat,Action
59,2.5507470000000003,70000000,17752940,Blackhat,Thriller
59,2.5507470000000003,70000000,17752940,Blackhat,Drama
60,2.487849,30000000,84025816,Sicario,Action
60,2.487849,30000000,84025816,Sicario,Crime
60,2.487849,30000000,84025816,Sicario,Drama
60,2.487849,30000000,84025816,Sicario,Mystery
60,2.487849,30000000,84025816,Sicario,Thriller
61,2.4870419999999998,120000001,167977596,Fantastic Four,Action
61,2.4870419999999998,120000001,167977596,Fantastic Four,Adventure
61,2.4870419999999998,120000001,167977596,Fantastic Four,Science Fiction
62,2.46449,3500000,40423945,The Witch,Mystery
62,2.46449,3500000,40423945,The Witch,Horror
63,2.404473,65000000,235666219,Spy,Action
63,2.404473,65000000,235666219,Spy,Comedy
63,2.404473,65000000,235666219,Spy,Crime
64,2.395366,50100000,153962963,Focus,Romance
64,2.395366,50100000,153962963,Focus,Comedy
64,2.395366,50100000,153962963,Focus,Crime
64,2.395366,50100000,153962963,Focus,Drama
65,2.354654,35000000,82347656,Hitman: Agent 47,Action
65,2.354654,35000000,82347656,Hitman: Agent 47,Crime
65,2.354654,35000000,82347656,Hitman: Agent 47,Thriller
66,2.345821,100000000,93820758,In the Heart of the Sea,Thriller
66,2.345821,100000000,93820758,In the Heart of the Sea,Drama
66,2.345821,100000000,93820758,In the Heart of the Sea,Adventure
66,2.345821,100000000,93820758,In the Heart of the Sea,Action
66,2.345821,100000000,93820758,In the Heart of the Sea,History
67,2.331636,20000000,0,Survivor,Crime
67,2.331636,20000000,0,Survivor,Thriller
67,2.331636,20000000,0,Survivor,Action
68,2.3315669999999997,35000000,137935567,Creed,Drama
69,2.31767,35000000,140795793,Trainwreck,Comedy
70,2.29573,13000000,32848185,Eye in the Sky,Drama
70,2.29573,13000000,32848185,Eye in the Sky,Thriller
70,2.29573,13000000,32848185,Eye in the Sky,War
71,2.28135,25000000,42972994,Legend,Crime
71,2.28135,25000000,42972994,Legend,Thriller
72,2.2720439999999997,0,45895,Beyond the Reach,Thriller
73,2.234573,150000000,128388320,Pan,Adventure
73,2.234573,150000000,128388320,Pan,Family
73,2.234573,150000000,128388320,Pan,Fantasy
74,2.165433,0,0,Mythica: The Darkspore,Action
74,2.165433,0,0,Mythica: The Darkspore,Adventure
74,2.165433,0,0,Mythica: The Darkspore,Fantasy
75,2.141506,0,0,Me and Earl and the Dying Girl,Comedy
75,2.141506,0,0,Me and Earl and the Dying Girl,Drama
76,2.140199,99000000,246233113,The Peanuts Movie,Adventure
76,2.140199,99000000,246233113,The Peanuts Movie,Animation
76,2.140199,99000000,246233113,The Peanuts Movie,Comedy
76,2.140199,99000000,246233113,The Peanuts Movie,Family
77,2.121884,35000000,48623572,Concussion,Drama
78,2.096273,25000000,52395996,The Night Before,Comedy
79,2.0809349999999998,2500000,5214043,Knock Knock,Drama
79,2.0809349999999998,2500000,5214043,Knock Knock,Horror
79,2.0809349999999998,2500000,5214043,Knock Knock,Thriller
