A,B
Date1,Territory1
Date10,"Territory52, Territory51, Territory53, Territory56, Territory54, Territory55"
Date11,"Territory57, Territory58, Territory63, Territory62, Territory60, Territory64, Territory61, Territory59"
Date12,"Territory65, Territory70, Territory68, Territory67, Territory69"
Date13,"Territory71, Territory72"
Date14,"Territory75, Territory78, Territory76, Territory77, Territory74"
Date15,"Territory85, Territory86, Territory81, Territory83, Territory82"
Date16,"Territory88, Territory92, Territory87, Territory90, Territory91, Territory94, Territory93"
Date17,"Territory98, Territory96, Territory97, Territory95"
Date18,"Territory100, Territory106, Territory101, Territory99, Territory102, Territory105, Territory103, Territory104"
Date19,"Territory109, Territory107, Territory108"
Date2,"Territory4, Territory10, Territory9, Territory3, Territory2, Territory5, Territory7, Territory6, Territory8"
Date20,Territory110
Date3,"Territory13, Territory12, Territory11"
Date4,"Territory17, Territory16, Territory14, Territory15"
Date5,"Territory19, Territory18"
Date6,"Territory22, Territory21, Territory20, Territory26, Territory24, Territory25"
Date7,"Territory32, Territory34, Territory28, Territory33, Territory30, Territory31, Territory29, Territory35"
Date8,"Territory37, Territory38, Territory40, Territory41"
Date9,"Territory50, Territory46, Territory42, Territory48, Territory44, Territory49, Territory47, Territory43"
