A,B
Date14,Territory75
Date7,Territory32
Date13,Territory71
Date6,Territory22
Date6,Territory21
Date16,Territory88
Date12,Territory65
Date18,Territory100
Date2,Territory4
Date3,Territory13
Date19,Territory109
Date15,Territory85
Date4,Territory17
Date8,Territory37
Date9,Territory50
Date9,Territory46
Date9,Territory42
Date7,Territory34
Date16,Territory92
Date11,Territory57
Date11,Territory58
Date1,Territory1
Date16,Territory87
Date18,Territory106
Date13,Territory72
Date18,Territory101
Date16,Territory90
Date18,Territory99
Date12,Territory70
Date2,Territory10
Date19,Territory107
Date8,Territory38
Date9,Territory48
Date10,Territory52
Date17,Territory98
Date14,Territory78
Date11,Territory63
Date16,Territory91
Date6,Territory20
Date20,Territory110
Date6,Territory26
Date14,Territory76
Date15,Territory86
Date4,Territory16
Date15,Territory81
Date2,Territory9
Date9,Territory44
Date3,Territory12
Date11,Territory62
Date11,Territory60
Date2,Territory3
Date12,Territory68
Date16,Territory94
Date5,Territory19
Date18,Territory102
Date16,Territory93
Date2,Territory2
Date9,Territory49
Date4,Territory14
Date4,Territory15
Date7,Territory28
Date2,Territory5
Date15,Territory83
Date10,Territory51
Date11,Territory64
Date10,Territory53
Date10,Territory56
Date17,Territory96
Date12,Territory67
Date15,Territory82
Date2,Territory7
Date10,Territory54
Date7,Territory33
Date10,Territory55
Date9,Territory47
Date18,Territory105
Date12,Territory69
Date18,Territory103
Date7,Territory30
Date2,Territory6
Date5,Territory18
Date17,Territory97
Date14,Territory77
Date3,Territory11
Date8,Territory40
Date7,Territory31
Date17,Territory95
Date8,Territory41
Date7,Territory29
Date2,Territory8
Date19,Territory108
Date9,Territory43
Date7,Territory35
Date18,Territory104
Date14,Territory74
Date11,Territory61
Date6,Territory24
Date6,Territory25
Date11,Territory59
