title_length,production_companies
1," Arc Productions,  Starz Animation,  Tim Burton Productions"
2," Relativity Media, Twentieth Century Fox Film Corporation,  Global Entertainment Group, Warner Bros.,  Donners' Company,  XM2 Productions,  Bad Hat Harry Productions,  Pixar Animation Studios"
3," Feigco Entertainment, Twentieth Century Fox Film Corporation,  Twentieth Century Fox Animation, Columbia Pictures, Blue Sky Studios, New Line Cinema,  Lionsgate, Annapurna Pictures, Warner Bros.,  Province of British Columbia Production Services Tax Credit,  Gold/Miller Productions, DC Comics, Virtual Studios,  RatPac-Dune Entertainment,  Illumination Entertainment,  Warner Bros.,  Fierce Entertainment,  Legendary Pictures,  Media Rights Capital, Universal Pictures,  Revolution Studios,  Summit Entertainment,  Moving Picture Company (MPC),  Guy Walks into a Bar Productions, Mosaic Media Group,  Fuzzy Door Productions,  Current Entertainment"
4," 1492 Pictures,  Disruption Entertainment, Echo Films,  Radiant Productions,  Protozoa Pictures,  Warner Bros.,  Walt Disney Animation Studios,  Five Star Institute,  Marvel Enterprises, Columbia Pictures, Paramount Pictures,  Working Title Films,  Revolution Studios,  Crave Films,  Helena Productions, Blue Sky Studios,  IM Global,  Silver Reel, The Weinstein Company,  Rickshaw Productions, Element Pictures,  Regency Enterprises,  GK Films,  Mirage Studios,  Virtual Studios,  Limelight Fund, Columbia Pictures,  Reaper Productions,  Cross Creek Pictures, Plan B Entertainment,  Huayi Brothers Media,  CinÃ©+,  QED International,  Toma 78,  Stillking Films,  Exodus Productions,  Double Negative, Open Road Films,  Trigger Street Productions,  Smokehouse Pictures, Columbia Pictures,  Revolution Studios,  DreamWorks Animation,  Working Title Films,  Dillywood,  John Wells Productions,  Lunar Industries, Exodus Film Group, Fox Searchlight Pictures,  EuropaCorp,  Relativity Media,  Centropolis Entertainment, Paramount Pictures,  Mandate Pictures,  No Trace Camping,  Broken Road Productions,  Cinelou Films,  Relativity Media,  Xingu Films, Walt Disney Pictures,  Marvel Entertainment,  87Eleven,  Good Machine, Revolution Films"
5,"Columbia Pictures Corporation, New Line Cinema, Walt Disney Pictures, City Light Films,  Blinding Edge Pictures,  Sony Pictures Entertainment (SPE),  PathÃ©,  Film i VÃ¤st,  NuAmerica Entertainment,  Le Pacte, HimenÃ³ptero,  3 Arts Entertainment, The Weinstein Company,  Bad Hat Harry Productions, BBC, Kennedy/Marshall Company, Blue Sky Studios,  Ventanarosa Productions, Universal Pictures,  Zaftig Films,  Focus Features,  PathÃ© Pictures International, Intermedia Films,  Fuzzy Door Productions,  Telecinco Cinema,  Media Rights Capital,  Media Rights Capital, Miramax Films,  ApolloProScreen Filmproduktion,  GK Films, Paramount Vantage,  Blind Wink,  Warner Bros.,  Marc Platt Productions,  Number 9 Films,  Emmett/Furla Films, StudioCanal,  RatPac-Dune Entertainment, Plan B Entertainment, DreamWorks Animation,  Pinewood Studios,  Canal Plus,  Filmgate Films, Summit Entertainment,  Paramount Animation, Paramount Pictures, Universal Pictures,  GreeneStreet Films,  IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG,  Pacific Data Images (PDI),  Nu Image Films, Miramax Films,  Lawrence Gordon Productions,  Nickelodeon Movies,  Open City Films,  Sechzehnte Babelsberg Film,  Krane Entertainment, Double Feature Films,  Hasbro,  Columbia Pictures Corporation,  Hart-Sharp Entertainment,  Lakeshore Entertainment,  TPS Star,  Yari Film Group,  Pixar Animation Studios,  Donners' Company, The Weinstein Company,  Cloud Eight Films,  Canal+,  Holleran Company, New Line Cinema,  Happy Madison Productions,  Peach Trees, Lionsgate,  Mimran Schur Pictures,  Media Rights Capital,  Central Films,  Endgame Entertainment, Dimension Films, Rogue Marble,  Touchstone Pictures, Universal Pictures"
6,"Groundswell Productions,  Serendipity Productions,  Daybreak Productions,  Fox 2000 Pictures, Dark Castle Entertainment,  Imagenation Abu Dhabi FZ,  Metropolitan Filmexport,  Marc Platt Productions, New Line Cinema,  DMG Entertainment, Endgame Entertainment, Columbia Pictures,  Lightstorm Entertainment,  Exclusive Media Group,  Dune Entertainment,  PathÃ©, Dune Entertainment,  Dimension Films,  Kalis Productions GmbH & Co. Zweite KG,  Happy Madison Productions, Cloud Eight Films, Vertigo Entertainment, Front Street Productions,  Davis-Films, Ingenious Film Partners, Walt Disney Pictures,  Blumhouse Productions, Bold Films,  Studio Canal, Universal Pictures, Lions Gate Films,  Baldwin Entertainment Group, Lionsgate, Ingenious Film Partners, Imagine Entertainment,  Spitfire Pictures,  Dune Entertainment,  Good Universe,  EuropaCorp, Saturn Films, Screen Gems,  Walrus & Associates,  Major Studio Partners,  Desertlands Entertainment,  Warner Bros., Paramount Pictures,  Metro-Goldwyn-Mayer (MGM),  Buckaroo Entertainment, Walt Disney Pictures,  Spyglass Entertainment, Intrepid Pictures,  Industry Entertainment, Universal Studios,  Ram Bergman Productions, SND,  New Regency Pictures,  Eagle Vision Inc.,  Olive Bridge Entertainment,  Cooper's Town Productions, Screen Gems, New Line Cinema, Columbia Pictures,  Franchise Pictures, Warner Bros., Blue Sky Studios,  Bristol Bay Productions"
7," Signature Pictures,  StudioCanal, Marvel Studios,  CinÃ©+,  Annapurna Pictures,  Don Carmody Productions,  Dune Films, Columbia Pictures,  Le Grisbi Productions,  Di Bonaventura Pictures,  Danjaq,  Jersey Films, Warner Bros.,  Initial Entertainment Group (IEG), Impact Pictures,  FilmWorks,  Touchstone Pictures, Studio Babelsberg,  Sony Pictures Entertainment (SPE),  EuropaCorp,  Sean S. Cunningham Films,  I Remember Productions,  Thunder Road Pictures, Summit Entertainment,  Red Wagon Entertainment,  DreamWorks Animation, Dark Castle Entertainment, Universal Pictures,  Signature Pictures,  Anonymous Content,  Caramel Film,  The,  Stratus Film Co.,  Relativity Media,  BenderSpink, Wild Bunch,  Starlite Films,  TSG Entertainment,  American Entertainment Partners L.P.,  Art Linson Productions,  Working Title Films,  Walden Media,  Flyboys Films,  Luna Pictures,  Weed Road Pictures,  Heyday Films, Lions Gate Films,  Touchstone Pictures,  Intertainment AG, Lionsgate,  Whamaphram Productions,  Metro-Goldwyn-Mayer (MGM),  H2F Entertainment,  Yari Film Group,  Paramount Animation,  Pixar Animation Studios,  Dark Castle Entertainment,  Canal+,  Crystal Lake Entertainment,  Yucaipa Films,  Jerry Bruckheimer Films, Media Rights Capital, Summit Entertainment,  Overbrook Entertainment, Twentieth Century Fox Film Corporation,  Metro-Goldwyn-Mayer (MGM),  Warner Bros.,  Cross Creek Pictures,  Forward Pass,  Gulfstream Pictures,  Twentieth Century Fox Animation, USA Films, Walt Disney, Little Stranger,  Spyglass Entertainment, Paramount Pictures,  Warner Bros., Walt Disney Pictures, Twentieth Century Fox Film Corporation,  Scanbox,  Motion Picture KAPPA Produktionsgesellschaft, Columbia Pictures, Universal Pictures,  Misher Films,  QED International, Twentieth Century Fox Film Corporation, Newmarket Films,  Overnight Films,  Canal+, Screen Gems,  Metro-Goldwyn-Mayer (MGM),  Syndicate Films International,  CinÃ©CinÃ©ma, Ixtlan,  Neal Street Productions,  Warner Bros.,  Darko Entertainment,  Transmission Pictures,  Great Wight Productions/ Osford Films,  EuropaCorp,  Benaroya Pictures,  Walt Disney Animation Studios,  EuropaCorp,  Electric Entertainment,  Wayfare Entertainment,  Hyde Park Entertainment, Revolution Studios,  Splendid Medien AG,  ImageMovers,  Debra Hill Productions,  Newmarket Capital Group, Spyglass Entertainment, CBS Films,  Blue Sky Studios,  Genre Films,  Esperanto Filmoj,  Storyline Entertainment,  Franchise Pictures, Paramount Pictures, Canal+,  Aversano Films, New Line Cinema, Miramax Films,  Farah Films & Management,  Pacific Data Images (PDI),  Radar Pictures,  Propaganda Films, Ingenious Film Partners,  Media Rights Capital,  Craven-Maddalena Films,  AFG Talons Productions, Cheyenne Enterprises,  Twisted Pictures,  B24,  M Productions,  New Regency Pictures,  VN Productions,  David Kirschner Productions,  Grive Productions,  Linson Entertainment,  Sanctum Australia,  Akil Production Company,  Free State Pictures, Dune Entertainment, TriStar Pictures,  Revolution Studios,  Storefront Films,  Columbia Pictures Corporation,  Gold Circle Films,  New Regency Pictures,  Strike Entertainment, Screen Gems,  Hydraulx, Laura Ziskin Productions"
8," Crave Films,  Chockstone Pictures,  Frantic Films,  Amen Ra Films,  Craven-Maddalena Films,  Vaughn Productions,  Ingenious Media,  Silver Reel,  Bad Hat Harry Productions,  Parallel Film Productions,  Media Rights Capital, 2929 Productions,  Nides/McCormick Productions,  Open Road Films,  UK Film Council, DreamWorks Animation, Blumhouse Productions,  Lawrence Gordon Productions,  Radical Studios,  Winkler Films,  The Montecito Picture Company,  STX Entertainment, Konrad Pictures,  Temple Hill Entertainment,  Warner Bros.,  Sideways Productions Inc.,  Alphaville Films,  LivePlanet,  Nickelodeon Movies, Lions Gate,  Ahimsa Films,  Emergency Films,  Thunder Road Pictures,  Sighvatsson Films,  David Brown Productions,  Bona Fide Productions,  1984 Private Defense Contractors, Impact Pictures,  Moving Picture Company (MPC), Village Roadshow Pictures, Paramount Pictures,  Di Bonaventura Pictures, Open Road Films,  Milk & Honey,  DreamWorks SKG, Nick Wechsler Productions,  Fireworks Pictures, Miramax Films, Sony Pictures,  Overbrook Entertainment,  Moonlighting Films, Walt Disney Pictures,  Open Road Films,  Millennium Films,  Dimension Films,  Marv Films, Summit Entertainment,  Laika Entertainment,  Cobalt Media Group,  11:11 Mediaworks,  Tribeca Productions,  Big Screen Productions,  Reliance Entertainment, Universal Pictures,  Electric City Entertainment, Legendary Pictures,  Davis Entertainment,  Scott Free Productions,  The,  LLC,  Patalex V Productions Limited,  Worldview Entertainment,  Michael London Productions,  Munich Film Partners & Company (MFP) GHS Productions, Miramax Films,  Max Stronghold Productions Inc.,  Paramount Animation,  Nickelodeon Movies,  Warner Bros.,  Radical Studios,  Warner Bros., Rogue Pictures,  Blue-Tongue Films, Village Roadshow Pictures, Twentieth Century Fox Film Corporation, New Line Cinema, Universal Pictures,  Apatow Productions,  Fake Empire,  Screen Gems,  Forward Pass,  Relativity Media,  Legendary Pictures,  Bad Robot,  Ocean Pictures,  Jinks/Cohen Company,  CBS Films, New Line Cinema,  Tapestry Films,  Troublemaker Studios,  Constantin Film Produktion, This Is That Productions, Columbia Pictures,  Riche-Ludwig Productions,  BenderSpink, Walt Disney Pictures,  Chernin Entertainment, Toho Company,  Don Carmody Productions,  Beacon Pictures,  Palomar Pictures (II), Wonderland Sound and Vision,  Columbia Pictures Corporation, Escape Artists,  Laurence Mark Productions,  Dark Castle Entertainment,  Beacon Communications, New Line Cinema,  Kintop Pictures, Paramount Pictures, Touchstone Pictures,  DC Comics,  Legendary Pictures,  Province of British Columbia Film Incentive BC,  Davis Entertainment,  Walt Disney Feature Animation,  Canadian Film or Video Production Tax Credit (CPTC),  Relativity Media,  LivePlanet,  Nick Wechsler Productions, Summit Entertainment, New Line Cinema,  Warner Bros.,  City Productions,  Marvel Entertainment,  Silver Pictures,  Contrafilm,  H2F Entertainment,  Irish Film Board,  Albert S. Ruddy Productions,  Apatow Productions,  Dino De Laurentiis Company, United Artists,  Original Film, DreamWorks SKG,  Monolith Pictures (III), Spyglass Entertainment,  Chris Lee Productions, Dimension Films,  Jolie Pas, Universal Pictures, Paramount Vantage, Spyglass Entertainment,  Alphaville Films,  Metropolitan Filmexport,  Chernin Entertainment,  Ingenious Film Partners, Lakeshore Entertainment, Wildgaze Films,  Internationale Filmproduktion Blackbird Dritte,  Jon Shestack Productions, Paramount Vantage, Sony Pictures, The Zanuck Company, Dimension Films,  Horsepower Films,  Maverick Films, Universal Pictures,  Tim Burton Productions,  Contrafilm, StudioCanal,  Wintergreen Productions,  Canal+,  Pioneer Pictures,  Camelot Pictures,  Dark Horse Entertainment,  Bedford Falls Company, Gary Sanchez Productions,  Mediastream Vierte Film GmbH & Co. Vermarktungs KG,  Intrepid Pictures,  Hungarian National Film Office,  Red Wagon Productions, New Line Cinema,  RatPac-Dune Entertainment,  Di Bonaventura Pictures"
9,"Silver Pictures,  Village Roadshow Pictures,  OddLot Entertainment, Warner Bros.,  20th Century Fox Home Entertainment, New Line Cinema,  Blue-Tongue Films,  Screenland Pictures,  Scott Free Productions,  Metro-Goldwyn-Mayer (MGM), Lions Gate Films,  Legendary Pictures,  Treehouse Pictures, Ghost House Pictures, DreamWorks SKG,  Touchstone Pictures, New Line Cinema,  Beacon Pictures,  RAMCO, BIM Distribuzione, TriStar Pictures, Imagine Entertainment, DreamWorks SKG,  Medienproduktion Poseidon Filmgesellschaft,  Big Kid Pictures, Endgame Entertainment,  Studio Canal,  Dune Entertainment III,  Sunswept Entertainment,  Red Wagon Entertainment, WingNut Films,  DefyNite Films,  Ghost House Pictures,  Fox Atomic,  View Askew Productions,  FilmDistrict, Twentieth Century Fox Film Corporation,  Vertigo Entertainment,  Spyglass Entertainment, Rogue Pictures,  Happy Madison Productions,  Tonik Productions, Twentieth Century Fox Film Corporation, Paramount Pictures,  The,  Regency Enterprises,  Crescendo Productions, Paramount Pictures,  Anonymous Content,  DreamWorks SKG,  Warner Bros., 20th Century Fox,  VIP Medienfonds 4,  Touchstone Pictures,  Metro-Goldwyn-Mayer (MGM),  Dune Entertainment III,  Irish Film Board,  Screen Australia,  Walden Media,  Bad Robot, Summit Entertainment,  Warner Bros.,  Level 1 Entertainment,  Blinding Edge Pictures,  Millennium Films,  Bel Air Entertainment,  PathÃ© Renn Productions,  Montecito Picture Company, Anonymous Content, PathÃ© Pictures International,  Figment Films,  Ilion Animation Studios, Universal Pictures,  Big Primate Pictures, Focus Features,  Playtone,  Happy Madison Productions,  Valhalla Motion Pictures,  MavroCine Pictures GmbH & Co. KG, Universal Pictures, Columbia Pictures, France 3 CinÃ©ma, Casey Silver Productions,  Gotham Group,  New Regency Pictures,  One Race Productions,  Bewitched,  Warner Bros.,  Screen Gems,  SkyLand Entertainment,  Original Film,  WWE Studios,  ImageMovers, Paramount Pictures,  Imagi Animation Studios,  Focus Features, Foresight Unlimited,  The,  Relativity Media,  Summit Entertainment, Amblin Entertainment,  Adam Schroeder Productions,  NPV Entertainment, Pacific Data Images (PDI), Lionsgate,  MFPV Film, Centropolis Entertainment,  Moonlighting Films, Industry Entertainment, Sony Pictures Animation,  Scott Rudin Productions,  Working Title Films,  Participant Media, Universal Pictures, Columbia Pictures, Dimension Films, United Artists, Warner Bros. Pictures,  Red Wagon Entertainment, Twentieth Century Fox Film Corporation,  BenderSpink,  Focus Features,  Granada Film Productions,  Mandeville Films, Village Roadshow Pictures,  Mill Film,  Twentieth Century Fox Film Corporation,  Good Universe,  Underworld Entertainment,  Madhouse Entertainment,  Epsilon Motion Pictures,  Partnership Pictures, River Road Entertainment,  MID Foundation,  Virtual Films,  Metro-Goldwyn-Mayer (MGM),  Cloud Eight Films,  The Montecito Picture Company,  Relativity Media,  Syncopy, Ascendant Pictures,  Metro-Goldwyn-Mayer (MGM),  Scott Rudin Productions,  Baumgarten Merims Productions,  K/O Paper Products,  Touchstone Pictures, Motion Picture Corporation of America,  Dentsu,  Dimension Films (US version),  Marvel Enterprises, De Line Pictures,  Relativity Media,  Virgin Produced,  Sony Pictures Releasing,  UK Film Council,  Screen NSW, Millennium Films, Toledo Productions,  Baby Cow Productions,  Andalasia Productions,  Cold Spring Pictures, Screen Gems, Universal Pictures,  Regency Enterprises,  TF1 Films Production,  Warner Bros. Animation,  Film4, Twentieth Century Fox Film Corporation,  Rocklin / Faust,  Scott Free Productions,  Warner Bros., Universal Pictures,  Artisan Entertainment,  The Weinstein Company,  Media Rights Capital,  Josephson Entertainment, New Line Cinema,  Intermedia Films,  Prime Focus, Summit Entertainment,  Warner Bros.,  MTV Films,  Strike Entertainment, Porchlight Films,  Red Wagon Entertainment,  Cheyenne Enterprises,  Also Known As Pictures,  Dune Entertainment III,  Artina Films, UK Film Council, Relativity Media,  Regency Enterprises,  Atlas Entertainment,  Morgan Creek Productions,  Epsilon Motion Pictures, Thunder Road Pictures,  Lucasfilm Ltd., New Line Cinema, Universal Pictures,  Red Wagon Entertainment,  Columbia Pictures Corporation,  PathÃ©, HanWay Films, The Weinstein Company,  Closest to the Hole Productions, Columbia Pictures Corporation,  Revolution Studios,  RatPac-Dune Entertainment,  Right Coast Productions,  Malpaso Productions,  PathÃ© Renn Productions,  Lakeshore Entertainment, The Mark Gordon Company,  Ingenious Film Partners,  Team Downey,  Colossal Pictures, The Weinstein Company,  Firm Films,  N1 European Film Produktions GmbH & Co. KG,  Original Film, Universal Pictures,  Fox Atomic,  Kennedy/Marshall Company, Relativity Media, Columbia Pictures,  Warner Bros.,  Element Pictures,  DreamWorks Animation,  Mango Farms,  Horseshoe Bay Productions,  Hyde Park Films"
10,"Touchstone Pictures,  Raygun Productions, Malpaso Productions,  Universal Pictures,  Dark Castle Entertainment,  LD Entertainment, Ghost House Pictures,  Internationale Filmproduktion Richter,  Odd Lot Entertainment,  Mosaic Media Group, Recorded Picture Company (RPC),  Las Producciones del Escorpion,  Industry Entertainment, David Foster Productions, Imagine Entertainment,  Block / Hanson,  Tribeca Productions,  Foqus Arte Digital,  StudioCanal, Vertigo Entertainment,  Dentsu, Waverly Films,  Dune Entertainment, Wild Bunch,  Wonderland Sound and Vision,  Morgan Creek Productions,  Malpaso Productions,  Apatow Productions, Regency Enterprises,  Prospero Pictures,  Nora Ephron Productions,  Relativity Media, Walt Disney Pictures, Walt Disney Pictures,  Closest to the Hole Productions,  David Dobkin Productions,  ANA Media,  Innocence Productions,  Lee Daniels Entertainment, TriStar Pictures,  DreamWorks Animation, Atlas Entertainment,  TF1 Films Production,  Edge City,  Bona Fide Productions, Universal Pictures,  The, Laurence Mark Productions,  Element Films, Tig Productions,  Oasis Films,  Parkes/MacDonald Productions, Fox Searchlight Pictures, Twentieth Century Fox Film Corporation,  EuropaCorp,  Laurence Mark Productions,  Baltimore Spring Creek Productions,  Ghost Ship Films Pty. Ltd.,  Fellah Pictures,  Laurinfilm,  Walt Disney Studios Motion Pictures, Paramount Pictures,  Eden Rock Media,  Global Entertainment Productions GmbH & Company Medien KG,  Hollywood Pictures,  Newmarket Capital Group,  Metro-Goldwyn-Mayer (MGM), Battleplan Productions, Marvel Studios,  Top Shelf Productions, Village Roadshow Pictures, Ingenious Film Partners, Regency Enterprises,  TÃ©lÃ©film Canada,  Warner Bros.,  Touchstone Pictures,  Rising Star,  Signature Pictures, Nick Wechsler Productions, Universal Pictures, Voltage pictures,  Columbia Pictures Corporation,  Cruise/Wagner Productions, Rogue Pictures,  Cube Vision,  Newmarket Capital Group,  Warner Bros., Laurence Mark Productions,  Vertigo Entertainment,  Leverage Management,  CBS Films,  Emmett/Furla Films,  New Regency Pictures, Imagine Entertainment,  Alfama Films,  The Kennedy/Marshall Company,  Rosey Film Productions LLC,  Grive Productions,  Coconut Pete Productions,  Impact Pictures, Village Roadshow Pictures,  Picture Perfect (I), Mandate Pictures,  Key Creatives,  Brandywine Productions,  Pam Williams Productions,  Beacon Pictures,  Hofflund/Polone,  Regency Enterprises, Columbia Pictures,  Canal+, Infinitum Nihil,  Icon Entertainment International,  Yer Dead Productions,  Hasbro,  LStar Capital, Walt Disney Pictures,  Mandeville Films,  Roth Films,  Touchstone Pictures,  Relativity Media,  Pacific Data Images (PDI), DreamWorks Animation,  Parkes/MacDonald Productions,  Relativity Media,  Film4,  DoRo Fiction Film,  Silver Pictures, Twentieth Century Fox Film Corporation,  Toff Guy Films,  StudioCanal, New Line Cinema,  Canal Plus, Lakeshore Entertainment,  Subterranean Productions LLC, Fox Searchlight Pictures,  Instituto de la CinematografÃ­a y de las Artes Audiovisuales (ICAA),  Universal Pictures,  TF1 Films Production,  DreamWorks SKG, Lionsgate, Universal Pictures,  NPV Entertainment,  Phoenix Pictures,  Unfaithful Filmproduktion GmbH & Co. KG,  Relativity Media, Revolution Studios,  Pacific Film and Television Commission,  Warner Bros. Pictures,  Touchstone Pictures,  Film 44,  Biscayne Pictures, DreamWorks SKG, Section Eight,  Scott Free Productions,  Relativity Media,  Pacific Data Images (PDI),  Liddell Entertainment,  Dark Lot Entertainment, Imagine Entertainment,  The Weinstein Company,  Scholastic Entertainment,  Virtual Films,  StudioCanal,  Regency Enterprises,  Underworld Produktions GmbH,  Warner Bros.,  Major Studio Partners, France 3 CinÃ©ma, StudioCanal,  Scott Free Productions,  Dentsu,  Jouror Productions, Paramount Pictures,  MTV Films,  David Ladd Films,  Marvel Enterprises,  Ingenious Media,  A Hot Dog,  Mars Distribution, Temple Hill Productions, Twentieth Century Fox Film Corporation,  VIP 3 Medienfonds,  Original Film,  Blumhouse Productions,  LightWorkers Media,  Follow Through Productions, DreamWorks SKG,  Stan Winston Studio,  Cross Creek Pictures,  Dune Entertainment,  Motion Picture ETA Produktionsgesellschaft,  Wintergreen Productions,  Big Screen Productions,  Screen Gems, Paramount Pictures, Twentieth Century Fox Film Corporation,  Intellectual Properties Worldwide,  La Petite Reine, Ghoulardi Film Company, DreamWorks SKG, StudioCanal, Icon Productions,  Focus Features, Boll KG, DNA Films, Summit Entertainment,  TriStar Pictures,  21 Laps Entertainment,  The Cantillon Company,  Dentsu,  Nu Image Entertainment,  Wonderful Films PLC, Twentieth Century Fox Film Corporation,  EuropaCorp, Village Roadshow Pictures, Summit Entertainment,  Beagle Pug Films, Summit Entertainment, DC Comics,  Omega Entertainment,  Pixar Animation Studios,  Studio 37, Columbia Pictures,  Grive Productions,  Exclusive Media Group"
