title_length,production_companies
17, ImageMovers
13, Art In Motion
44,Warner Bros.
56, Walden Media
6,Groundswell Productions
46, Millennium Films
22, Lin Pictures
16, Relativity Media
22,Twentieth Century Fox Film Corporation
24, Relativity Media
19, Pixar Animation Studios
23, Bad Robot
16,Warner Bros. Pictures
11,DreamWorks SKG
12, Marvel Enterprises
9,Silver Pictures
14,Bazelevs Production
12, Escape Artists
10,Touchstone Pictures
8, Crave Films
18,Recorded Pictures Company
9, Village Roadshow Pictures
11, Franchise Pictures
7, Signature Pictures
18, Kernos Filmproduktionsgesellschaft & Company
9, OddLot Entertainment
22, Atmosphere Entertainment MM
13, Nick Wechsler Productions
37,Twentieth Century Fox Film Corporation
10, Raygun Productions
27, Sunswept Entertainment
9,Warner Bros.
18,Alcon Entertainment
4, 1492 Pictures
4, Disruption Entertainment
8, Chockstone Pictures
11, Skydance Productions
16, First Light Production
27,Universal Pictures
25, It's a Laugh Productions
8, Frantic Films
16, Sean S. Cunningham Films
25, Mace Neufeld Productions
9, 20th Century Fox Home Entertainment
9,New Line Cinema
13,Paramount Pictures
15, Section Eight Productions
34,Village Roadshow Pictures
34, Depth of Field
11,Columbia Pictures
26, Maverick Films
11,DreamWorks SKG
3, Feigco Entertainment
11, Metro-Goldwyn-Mayer (MGM)
19, Major Studio Partners
4,Echo Films
11,Dimension Films
19, Big Screen Productions
14, Red Hour Films
10,Malpaso Productions
9, Blue-Tongue Films
12, Universal
5,Columbia Pictures Corporation
9, Screenland Pictures
6, Serendipity Productions
13, Cin̩Cin̩ma
4, Radiant Productions
15, Misher Films
5,New Line Cinema
17, Alphaville Films
37, Lipsync Productions
14, Imagine Entertainment
17, The Weinstein Company
6, Daybreak Productions
10, Universal Pictures
16, London Boulevard
8, Amen Ra Films
11, Anonymous Content
21,Dimension Films
16,HighRoad Entertainment
11, Vanguard Films
17, Relativity Media
20, Internationale Filmproduktion Blackbird Dritte
8, Craven-Maddalena Films
8, Vaughn Productions
34, Walden Media
15, Legendary Pictures
16, Pricel
12,Warner Bros. Pictures
8, Ingenious Media
7, StudioCanal
4, Protozoa Pictures
9, Scott Free Productions
4, Warner Bros.
15, Radar Pictures
26,DreamWorks SKG
12, Tollin/Robbins Productions
10, Dark Castle Entertainment
18, Franchise Pictures
18,Castle Rock Entertainment
22,Summit Entertainment
9, Metro-Goldwyn-Mayer (MGM)
7,Marvel Studios
13, This Is That Productions
8, Silver Reel
5,Walt Disney Pictures
19, Hypnotic
8, Bad Hat Harry Productions
11, Winkler Films
12,New Line Cinema
22,Lionsgate
13, Original Film
42, Jerry Bruckheimer Films
11, Epidemic Pictures
14, Di Bonaventura Picture
12, Castle Rock Entertainment
11,New Line Cinema
34, Amblin Entertainment
4, Walt Disney Animation Studios
14, Pink Machine
5,City Light Films
10, LD Entertainment
9,Lions Gate Films
3,Twentieth Century Fox Film Corporation
18, Relativity Media
2, Relativity Media
5, Blinding Edge Pictures
9, Legendary Pictures
36,Paramount Pictures
20, BenderSpink
10,Ghost House Pictures
7, Cin̩+
11,Twentieth Century Fox Film Corporation
19,Cheyenne Enterprises
13,Laika Entertainment
14,Miramax Films
17, Working Title Films
12, Gone North Productions
7, Annapurna Pictures
10, Internationale Filmproduktion Richter
31, Allied Filmmakers
9, Treehouse Pictures
15, Division Films
25, Walt Disney Feature Animation
7, Don Carmody Productions
27, Flower Films (II)
5, Sony Pictures Entertainment (SPE)
40,Walt Disney Pictures
21, Film Rites
16, Sony Pictures Entertainment
18,Bedford Falls Productions
15, Silver Reel
10, Odd Lot Entertainment
33, Regency Enterprises
8, Parallel Film Productions
24, Marvel Enterprises
5, Path̩
27, Eric's Boy
14,Amen Ra Films
9,Ghost House Pictures
9,DreamWorks SKG
20, Robert Simonds Productions
15, Furry Vengeance Productions
11, Forward Pass
34,Universal Pictures
11, Touchstone Pictures
16, Maverick Films
34,Columbia Pictures
15, Bull's Eye Entertainment
16,Screen Gems
18, Talisman Productions
11,Lion Rock Productions
20, Warner Bros.
11,Matador Pictures
41,New Line Cinema
17, New Regency Pictures
12, Knightsbridge Entertainment
7, Dune Films
17,Robert Simonds Productions
39, Warner Bros.
18, BBC Films
12, Relativity Media
16, Henceforth
20,Touchstone Pictures
8, Media Rights Capital
10, Mosaic Media Group
11, Original Film
17, Fortis Films
20,Universal Pictures
4, Five Star Institute
19, Freestyle Releasing
16, The Picture Factory
17,Nu Image Films
18,Paramount Pictures
45, Animal Logic
13, Village Roadshow Pictures
11," ""DIA"" Productions GmbH & Co. KG"
16,Universal Pictures
3, Twentieth Century Fox Animation
15, Lionsgate
12,Jerry Bruckheimer Films
11,New Line Cinema
14,PVR Cinemas
4, Marvel Enterprises
22, Touchstone Pictures
19,Lakeshore Entertainment
26, Firm Films
9, Touchstone Pictures
16, Dino de Laurentiis Cinematografica
17, First Foot Films
9,New Line Cinema
7,Columbia Pictures
8,2929 Productions
7, Le Grisbi Productions
9, Beacon Pictures
24, Original Film
14,Universal Pictures
18,Mark Johnson Productions
11, Warner Bros.
23,New Line Cinema
23, K. JAM Media
15, Insurge Pictures
14,Bel Air Entertainment
15,Wildwood Enterprises
15, Fortis Films
12, MTV Films
12, Metro-Goldwyn-Mayer (MGM)
9, RAMCO
26,Davis-Films
10,Recorded Picture Company (RPC)
20,Columbia Pictures
9,BIM Distribuzione
9,TriStar Pictures
18,Paramount Pictures
9,Imagine Entertainment
10, Las Producciones del Escorpion
20,Legendary Pictures
20, Intermedia Films
24, Davis-Films
10, Industry Entertainment
15,Walt Disney Pictures
27, Touchstone Pictures
24, Ardustry Entertainment
4,Columbia Pictures
16, Dentsu
19,DreamWorks SKG
7, Di Bonaventura Pictures
