PROJECT,Item,Price
ENVIROLOPES,Letter-sized envelopes ,2.5
ENVIROLOPES,Yarn (optional),2.97
ENVIROLOPES,Glue sticks,1.42
EXPLORE WATER,Empty bin,
EXPLORE WATER,Plastic cups,2.58
EXPLORE WATER,Soda bottles,
EXPLORE WATER,Funnel,0.89
EXPLORE WATER,Sponge,2.98
EXPLORE WATER,Pipettes or eyedroppers,4.94
EXPLORE WATER,Empty soap dispensers ,
EXPLORE WATER,Turkey baster,3.75
SCRATCH & SNIFF NAMETAGS,Lined Name Cards,3.36
SCRATCH & SNIFF NAMETAGS,Jello-O,5.29
SCRATCH & SNIFF NAMETAGS,Small cups,2.97
SMELLS LIKE,Small containers with lids,4.93
SMELLS LIKE,Cotton balls,2.9
SMELLS LIKE,Smelly stuff,
INVENTIONS: BAG OF JUNK,"Broken clocks, equipment",
INVENTIONS: BAG OF JUNK,Screwdriver,3.69
INVENTIONS: BAG OF JUNK,Pliers,4.86
INVENTIONS: BAG OF JUNK,Hammers,5.95
INVENTIONS: BAG OF JUNK,"Recycled Items: egg cartons, bubble wrap, empty boxes, containers",
INVENTIONS: BAG OF JUNK,"Watering Devices: Turkey baster, water pumps, straws, hoses",
INVENTIONS: BAG OF JUNK,"Small Stuff: bottle caps, toothpicks, screws, thread",
INVENTIONS: BAG OF JUNK,"Things that roll: marbles, dowels, toy wheels, paper towel and toiler paper rolls, balls, beads)",
INVENTIONS: BAG OF JUNK,"Sticky, attaching stuff: magnets, clay, glue, tape, paper clipes, sponges",
INVENTIONS: BAG OF JUNK,"Building materials: Blocks, wood scraps, tiles, plastic wrap, popsicle sticks, wire, clay",
OOBLECK,Large mixing bowl,6.47
OOBLECK,egg carton,
OOBLECK,bar of soap,2.0
OOBLECK,paper clips,2.0
OOBLECK,aluminum foil,2.0
OOBLECK,drinking straws,2.0
OOBLECK,craft sticks,2.7
OOBLECK,sponges,2.98
OOBLECK,packing foam pieces,
OOBLECK,bubble wrap,5.44
OOBLECK,Lego pieces,
OOBLECK,Small drinking cups,2.0
GLURCH,Borax powder,3.97
GLURCH,White glue,2.0
GLURCH,Mixing bowl,6.47
GLURCH,Large spoon,
GLURCH,Paper bowls,2.17
GLURCH,Food coloring,3.65
SECRET MESSAGES,Mirror,4.94
SECRET MESSAGES,Magnifier,10.48
SECRET MESSAGES,Children's dictionary,11.39
SECRET MESSAGES,Crayons,2.94
SECRET MESSAGES,Lemon juice,2.48
SECRET MESSAGES,q-tips,2.68
CUBIST COLLAGE,Old magazines,
CUBIST COLLAGE,Scissors,2.51
CUBIST COLLAGE,Glue/tape,2.0
CUBIST COLLAGE,Cardstock,
EXPLORING MY LIGHT SENSORS,Small mirrors,
EXPLORING MY LIGHT SENSORS,"Colored pencils, markers, or crayons",
EXPLORING MY LIGHT SENSORS,Paper,
RING AND PIN,Recycled items (see preparation),
RING AND PIN,Popscicle sticks,
RING AND PIN,Metal washers,
RING AND PIN,String,
SAND PAPER ART,60 grit sandpaper,
SAND PAPER ART,crayons,
SAND PAPER ART,copy paper,
SAND PAPER ART,iron,
SAND PAPER ART,wax paper ,
