Account Name,Membership Category,Membership Level,Website
Suppliers and Manufacturers,,,
Associate Members,,,
Suppliers and Manufacturers,,,
"Jiangsu Guotai International Group Guohua Corp.,Ltd",4,2.0,
Sunny Trexim Pvt Ltd,12,2.0,
"Tangshan Zhou Ying Textile Co., Ltd",4,2.0,www.tszhouying.com
Nazar Tekstil San. Tic. A.S.,7,2.0,
Bombay Rayon Fashions,7,2.0,
Badsha Textiles Ltd,7,2.0,
Mercury Fabrics Pvt. Ltd.,6,3.0,
"Sanyang textile co., LTD",4,2.0,
Square Corporation,Non-lint Trader,3.0,www.square-corp.com
Viyellatex Group,7,2.0,
Anhui Huamao Textile Co. Ltd.,4,2.0,
"Xindadong Textiles(VIETNAM)Co.,Ltd",7,2.0,
Santuk Tekstil San ve Tic A.S,9,3.0,
Damodar Industries Limited,7,2.0,
"Hebei  Like  Textile  Co.,Ltd",7,2.0,
"Taicang Litai Textile Mill Co.,Ltd",4,2.0,
Wuxi Jingwei Textile Technology Test Co. Ltd.,7,2.0,
Sudiva Spinners Pvt. Ltd.,7,2.0,
Producer Organisation,,,
Suppliers and Manufacturers,,,
Producer Organisation,,,
Suppliers and Manufacturers,,,
Al Karam Group,4,2.0,
Alpine Knits India Pvt. Ltd.,7,2.0,
"Jiangsu Sinocot International Trade Co., Ltd",12,2.0,
H.A.Fibres Pvt Ltd,7,2.0,
Dakota Industrial Co. Ltd.,9,3.0,
"Hunan Dongxin Group Co.,Ltd",4,2.0,
"Hubei Yinhe Textile Co.,Ltd",7,2.0,
Feroze1888 Mills Ltd.,4,2.0,
CFT Pietro Masserini Spa,7,2.0,www.cftmasserini.com
AKH Knitting & Dyeing Ltd,9,3.0,
Bossa,4,2.0,
Klopman International SRL,6,3.0,
VRA Cotton Mills Pvt Ltd,12,2.0,
SM Spinning Mills Ltd,7,2.0,
Producer Organisation,,,
Suppliers and Manufacturers,,,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Civil Society,,,
Suppliers and Manufacturers,,,
Camay Garments Factory Ltd.,9,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Square Textiles Ltd.,7,2.0,
Eveready Spinning Mills Pvt. Ltd.,7,2.0,
Divyalakshmi Textiles Pvt Ltd,7,2.0,
Glossy Impex Pvt Ltd,12,2.0,www.glossy.in
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Jolly Enterprise,12,2.0,
Nantong Dafuhao Textile Technology Co. Ltd.,7,2.0,
Globex Agency,7,2.0,
Siddiqsons Ltd.,4,2.0,
Mr. Fabrics ( Pvt. ) LTD.,6,3.0,
Faisal Asad Textile Mills Ltd.,7,2.0,
Producer Organisation,,,
Suppliers and Manufacturers,,,
Suam Overseas Pvt Ltd,7,2.0,
"Xinjiang Huasheng Spin Co,.Ltd",,2.0,
N. Murugan Chettiar,12,2.0,
Nien Hsing Textile Co. Ltd.,6,2.0,
Prince Group,7,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Producer Organisation,,,
Suppliers and Manufacturers,,,
Sadirlar Alliance Tekstil A.S,6,3.0,www.satekstil.com.tr
Beirholms VÃ¦verier A/S. (Creadore),9,3.0,
