Moisture Requirement,Deer Resistant?
FERNS,
0.0,0.0
1.0,0.0
0.0,0.0
2.0,0.0
0.0,0.0
0.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
GRASSES,
0.0,0.0
3.0,0.0
0.0,0.0
2.0,0.0
0.0,0.0
4.0,0.0
3.0,0.0
0.0,0.0
0.0,0.0
4.0,0.0
1.0,0.0
SHRUBS - Small (< 3'),
4.0,1.0
4.0,0.0
5.0,0.0
6.0,1.0
5.0,0.0
SHRUBS - Medium (3 - 6'),
4.0,1.0
2.0,1.0
4.0,0.0
0.0,0.0
0.0,1.0
2.0,1.0
1.0,1.0
2.0,1.0
0.0,1.0
2.0,0.0
SHRUBS - Large (> 6'),
0.0,1.0
2.0,0.0
0.0,1.0
1.0,1.0
1.0,1.0
2.0,1.0
2.0,1.0
0.0,1.0
6.0,1.0
2.0,1.0
0.0,1.0
1.0,1.0
1.0,1.0
2.0,1.0
1.0,1.0
TREES - Small (< 25'),
0.0,1.0
0.0,1.0
3.0,1.0
3.0,1.0
0.0,1.0
2.0,1.0
0.0,1.0
TREES - Large (25 - 50+'),
3.0,1.0
3.0,1.0
0.0,1.0
2.0,1.0
2.0,1.0
4.0,0.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
2.0,1.0
2.0,1.0
3.0,1.0
1.0,1.0
0.0,1.0
VINES,
3.0,0.0
2.0,0.0
0.0,0.0
WILDFLOWERS - Meadows - Sun to Partial Shade,
7.0,0.0
3.0,0.0
7.0,0.0
2.0,0.0
3.0,0.0
1.0,1.0
1.0,0.0
1.0,1.0
4.0,0.0
0.0,0.0
3.0,0.0
3.0,0.0
0.0,1.0
0.0,0.0
0.0,0.0
4.0,0.0
4.0,0.0
2.0,1.0
0.0,0.0
3.0,1.0
1.0,0.0
0.0,1.0
4.0,1.0
7.0,0.0
3.0,1.0
3.0,0.0
2.0,0.0
2.0,0.0
1.0,0.0
2.0,0.0
3.0,0.0
1.0,0.0
3.0,1.0
0.0,0.0
0.0,0.0
1.0,0.0
3.0,0.0
0.0,0.0
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,
3.0,0.0
0.0,1.0
0.0,0.0
0.0,1.0
1.0,0.0
0.0,0.0
3.0,0.0
3.0,1.0
2.0,0.0
2.0,0.0
0.0,0.0
1.0,0.0
3.0,1.0
2.0,0.0
1.0,1.0
3.0,0.0
3.0,0.0
1.0,0.0
0.0,0.0
0.0,0.0
0.0,1.0
3.0,1.0
0.0,0.0
2.0,1.0
0.0,1.0
0.0,0.0
0.0,0.0
0.0,0.0
3.0,0.0
3.0,0.0
AQUATIC PLANTS - Sun to Partial Shade,
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
