"Class 
Number","Gen
Ed",Class,Description,Days,"Begin 
Time","End 
Time",Room,Instructor,"Instruction 
Mode","Start 
Date","End 
Date"
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
SOCIOLOGY,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,
CIS,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
WELDING,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,
CIS,,,,,,,,,,,
ASTRONOMY,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,
HISTORY,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,
THEATRE,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
OFFICE SYSTEMS TECHNOLOGY,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
NURSING,,,,,,,,,,,
CHEMISTRY,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
WELDING,,,,,,,,,,,
PHYSICS,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
ALLIED HEALTH,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
WELDING,,,,,,,,,,,
CHEMISTRY,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
HISTORY,,,,,,,,,,,
ART ,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
KINESIOLOGY AND HEALTH PROMOTION,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,
WELDING,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
ART ,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
44381.0,10,MAT 126-A0Z1,72,1,1,1,1,89,1.0,43696.0,43814.0
POLITICAL SCIENCE,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
WELDING,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
CHEMISTRY,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
THEATRE,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
WELDING,,,,,,,,,,,
MUSIC,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
DIESEL TECHNOLOGY,,,,,,,,,,,
STATISTICS,,,,,,,,,,,
COMPUTER MANUFACTURING AND MACHINES,,,,,,,,,,,
SURGICAL TECHNOLOGY,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,
44483.0,4,COM 181-A003,41,0,19,23,34,45,2.0,43696.0,43814.0
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,
MUSIC,,,,,,,,,,,
NURSING ASSISTANT,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
57276.0,10,MAT 150-A0H1,76,0,33,11:45 AM,23,88,2.0,43696.0,43814.0
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
WELDING,,,,,,,,,,,
SOCIOLOGY,,,,,,,,,,,
CIS,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
SOCIOLOGY,,,,,,,,,,,
CIS,,,,,,,,,,,
SURGICAL TECHNOLOGY,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
OFFICE SYSTEMS TECHNOLOGY,,,,,,,,,,,
STATISTICS,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
44432.0,1,BIO 112-A001,24,0,15,17,17,22,2.0,43696.0,43814.0
ELECTRICAL TECHNOLOGY,,,,,,,,,,,
SURGICAL TECHNOLOGY,,,,,,,,,,,
MUSIC,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
KINESIOLOGY AND HEALTH PROMOTION,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,
MUSIC,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,
