cuisine_style,ranking,rating,reviews_number
European,5570.0,3.5,194.0
 French,5570.0,3.5,194.0
 International,5570.0,3.5,194.0
unknown,1537.0,4.0,10.0
Japanese,353.0,4.5,688.0
 Sushi,353.0,4.5,688.0
 Asian,353.0,4.5,688.0
 Grill,353.0,4.5,688.0
 Vegetarian Friendly,353.0,4.5,688.0
 Vegan Options,353.0,4.5,688.0
 Gluten Free Options,353.0,4.5,688.0
unknown,3458.0,5.0,3.0
German,621.0,4.0,84.0
 Central European,621.0,4.0,84.0
 Vegetarian Friendly,621.0,4.0,84.0
unknown,1419.0,3.0,2.0
Italian,1722.0,4.0,50.0
 Pizza,1722.0,4.0,50.0
Italian,826.0,3.0,9.0
unknown,2692.0,4.0,NaN
Italian,4210.0,4.0,55.0
 Pizza,4210.0,4.0,55.0
 Fast Food,4210.0,4.0,55.0
unknown,6579.0,3.0,6.0
Italian,5321.0,4.0,42.0
 Pizza,5321.0,4.0,42.0
 Vegetarian Friendly,5321.0,4.0,42.0
Italian,4073.0,3.5,286.0
 Pizza,4073.0,3.5,286.0
 Vegetarian Friendly,4073.0,3.5,286.0
 Gluten Free Options,4073.0,3.5,286.0
Vegetarian Friendly,4639.0,4.5,10.0
 Gluten Free Options,4639.0,4.5,10.0
Mediterranean,4776.0,4.0,7.0
 Spanish,4776.0,4.0,7.0
 Healthy,4776.0,4.0,7.0
Cafe,1405.0,4.0,28.0
Japanese,5259.0,4.0,3.0
 Asian,5259.0,4.0,3.0
 Thai,5259.0,4.0,3.0
 Vietnamese,5259.0,4.0,3.0
Bar,11131.0,4.5,7.0
 Pub,11131.0,4.5,7.0
German,3129.0,4.0,12.0
Chinese,2792.0,3.0,12.0
German,370.0,5.0,27.0
 Vegetarian Friendly,370.0,5.0,27.0
unknown,5847.0,4.0,NaN
Bar,13026.0,3.5,52.0
 British,13026.0,3.5,52.0
 Pub,13026.0,3.5,52.0
Asian,73.0,4.0,371.0
 Thai,73.0,4.0,371.0
 Vegetarian Friendly,73.0,4.0,371.0
 Gluten Free Options,73.0,4.0,371.0
 Vegan Options,73.0,4.0,371.0
Cafe,14984.0,3.0,18.0
 British,14984.0,3.0,18.0
Polish,1077.0,5.0,2.0
 International,1077.0,5.0,2.0
 European,1077.0,5.0,2.0
 Fusion,1077.0,5.0,2.0
unknown,2765.0,5.0,11.0
unknown,2109.0,3.5,2.0
unknown,10059.0,4.5,4.0
unknown,8356.0,2.5,16.0
unknown,1846.0,3.0,16.0
Dutch,2011.0,4.5,15.0
 European,2011.0,4.5,15.0
unknown,1328.0,5.0,NaN
Vietnamese,2435.0,3.0,4.0
Italian,2428.0,4.5,69.0
 Pizza,2428.0,4.5,69.0
Italian,2047.0,4.5,20.0
 Mexican,2047.0,4.5,20.0
 Venezuelan,2047.0,4.5,20.0
 South American,2047.0,4.5,20.0
Italian,5845.0,3.0,104.0
Japanese,5210.0,5.0,2.0
 Sushi,5210.0,5.0,2.0
 Asian,5210.0,5.0,2.0
French,11293.0,4.5,10.0
unknown,3133.0,4.0,7.0
Bar,2713.0,4.5,9.0
 Cafe,2713.0,4.5,9.0
 Mediterranean,2713.0,4.5,9.0
 Pub,2713.0,4.5,9.0
Asian,5460.0,3.5,132.0
 Thai,5460.0,3.5,132.0
 Vegetarian Friendly,5460.0,3.5,132.0
Soups,165.0,4.5,73.0
 Healthy,165.0,4.5,73.0
 Vegetarian Friendly,165.0,4.5,73.0
 Vegan Options,165.0,4.5,73.0
 Gluten Free Options,165.0,4.5,73.0
Pub,9926.0,3.5,39.0
Japanese,2195.0,4.0,7.0
Pizza,11955.0,4.0,3.0
Italian,8467.0,2.0,4.0
Belgian,76.0,4.0,484.0
 European,76.0,4.0,484.0
 Vegetarian Friendly,76.0,4.0,484.0
 Vegan Options,76.0,4.0,484.0
 Gluten Free Options,76.0,4.0,484.0
