0.07,0.22,0.0,0.09,0.15,0.25
3.9,3.32,0.0,3.83,3.56,3.45
0.05,0.12,0.0,0.04,0.25,0.19
5.0,17.1,0.0,4.3,14.7,19.6
1.6,1.17,0.0,1.48,1.44,1.34
76.7,73.2,0.0,78.3,59.6,64.5
3.3,5.3,0.1,1.0,2.3,22.7
65.0,48.8,0.0,56.5,44.8,51.8
"30 -
< 50","20 -
< 30",>= 100,"50 -
< 100",Hill Farms,All Sizes
1.7,2.4,0.0,0.0,7.0,5.0
46.7,53.7,0.0,26.1,64.6,50.1
86.7,75.6,0.0,91.3,81.5,78.2
65.0,63.4,0.0,56.5,75.8,58.9
60,41,2,23,25,209
38.3,29.3,0.0,47.8,24.4,23.4
53.3,51.2,0.0,69.6,48.6,48.1
0.85,0.71,0.0,0.96,0.65,0.67
21.7,24.4,0.0,21.7,26.5,29.1
49.5,51.6,0.0,52.7,49.1,52.8
