Index,revenue,original_title,cast
970,1519557910,The Avengers," Chris Evans,  Mark Ruffalo, Robert Downey Jr.,  Chris Hemsworth,  Scarlett Johansson"
971,132400000,Underworld: Awakening," India Eisley, Kate Beckinsale,  Michael Ealy,  Stephen Rea,  Theo James"
972,1081041287,The Dark Knight Rises," Anne Hathaway,  Gary Oldman,  Tom Hardy, Christian Bale"
973,425368238,Django Unchained," Christoph Waltz,  Samuel L. Jackson, Jamie Foxx,  Leonardo DiCaprio,  Kerry Washington"
974,1108561013,Skyfall," Ralph Fiennes,  Naomie Harris,  Judi Dench, Daniel Craig,  Javier Bardem"
975,276572938,The Bourne Legacy,"Jeremy Renner,  Stacy Keach,  Scott Glenn"
976,1017003568,The Hobbit: An Unexpected Journey," Cate Blanchett,  Martin Freeman,  Andy Serkis, Ian McKellen"
977,403170142,Prometheus,"Noomi Rapace,  Guy Pearce"
978,205738714,Silver Linings Playbook," Jacki Weaver,  Jennifer Lawrence,  Robert De Niro"
979,752215857,The Amazing Spider-Man,"Andrew Garfield,  Rhys Ifans,  Emma Stone,  Denis Leary,  Martin Sheen"
980,538983207,Brave," Emma Thompson,  Kevin McKidd,  Julie Walters,  Billy Connolly"
981,396600000,Snow White and the Huntsman," Sam Claflin,  Charlize Theron,  Chris Hemsworth, Kristen Stewart,  Ian McShane"
982,201585328,21 Jump Street," Jonah Hill, Channing Tatum,  Brie Larson"
983,609016565,Life of Pi," Adil Hussain, Suraj Sharma,  Gautam Belur,  Irrfan Khan,  Ayush Tandon"
984,877244782,Ice Age: Continental Drift,"John Leguizamo,  Chris Wedge,  Ray Romano,  Seann William Scott"
985,549368315,Ted," Giovanni Ribisi,  Seth MacFarlane, Mark Wahlberg,  Joel McHale,  Mila Kunis"
986,218340595,Jack Reacher," David Oyelowo,  Rosamund Pike, Tom Cruise,  Richard Jenkins"
987,180274123,Lo imposible," Tom Holland,  Ewan McGregor,  Oaklee Pendergast, Naomi Watts"
988,471222889,Wreck-It Ralph," Jane Lynch,  Sarah Silverman,  Jamie Elman"
989,115350426,Pitch Perfect,"Anna Kendrick,  Brittany Snow,  Skylar Astin,  Rebel Wilson"
990,624026776,Men in Black 3,"Will Smith,  Michael Stuhlbarg,  Josh Brolin"
991,691210692,The Hunger Games," Liam Hemsworth,  Elizabeth Banks,  Woody Harrelson, Jennifer Lawrence"
992,198802074,Total Recall," Kate Beckinsale,  Jessica Biel,  Bill Nighy, Colin Farrell"
993,130482868,Cloud Atlas," Halle Berry,  Hugo Weaving,  Jim Broadbent,  Jim Sturgess, Tom Hanks"
994,312573423,The Expendables 2," Dolph Lundgren, Sylvester Stallone,  Bruce Willis,  Arnold Schwarzenegger,  Jason Statham"
995,376141306,Taken 2," Maggie Grace,  Rade Serbedzija,  Famke Janssen,  Luke Grimes"
996,245527149,Dark Shadows," Jackie Earle Haley,  Helena Bonham Carter,  Michelle Pfeiffer,  Jonny Lee Miller, Johnny Depp"
997,33400000,The Perks of Being a Wallflower," Ezra Miller,  Emma Watson,  Paul Rudd,  Nina Dobrev"
998,232324128,Argo," Bryan Cranston,  John Goodman,  Alan Arkin,  Victor Garber, Ben Affleck"
999,234989584,American Reunion," Thomas Ian Nicholas,  Chris Klein,  Seann William Scott, Jason Biggs,  Alyson Hannigan"
1000,167221571,Magic Mike," Olivia Munn, Channing Tatum,  Matthew McConaughey"
1001,66486080,The Cabin in the Woods," Fran Kranz,  Chris Hemsworth,  Jesse Williams,  Anna Hutchison"
1002,306941670,Rise of the Guardians," Alec Baldwin, Chris Pine,  Jude Law,  Isla Fisher"
1003,196114570,The Vow,"Rachel McAdams,  Scott Speedman,  Jessica Lange,  Sam Neill,  Channing Tatum"
1004,355692760,Journey 2: The Mysterious Island,"Dwayne Johnson,  Kristin Davis,  Luis GuzmÃ¡n,  Josh Hutcherson,  Vanessa Hudgens"
1005,40346186,Safe," James Hong, Jason Statham,  Chris Sarandon,  Robert John Burke"
1006,112265139,Abraham Lincoln: Vampire Hunter," Anthony Mackie,  Mary Elizabeth Winstead"
1007,8106475,Upside Down," Timothy Spall,  Heidi Hawkins,  Jim Sturgess, Kirsten Dunst,  James Kidnie"
1008,348840316,The Lorax," Danny DeVito,  Rob Riggle, Zac Efron,  Taylor Swift,  Ed Helms"
1009,68263166,Moonrise Kingdom," Jared Gilman, Bruce Willis,  Edward Norton,  Bill Murray,  Kara Hayward"
1010,41037742,Dredd," Olivia Thirlby,  Jason Cope,  Wood Harris, Karl Urban"
1011,303025485,Battleship,"Taylor Kitsch,  Rihanna,  Brooklyn Decker"
1012,441809770,Les MisÃ©rables," Anne Hathaway, Hugh Jackman,  Russell Crowe,  Sacha Baron Cohen"
1013,183018522,Mirror Mirror,"Julia Roberts,  Martin Klebba,  Armie Hammer,  Nathan Lane"
1014,284139100,John Carter," Mark Strong,  Willem Dafoe,  Lynn Collins,  CiarÃ¡n Hinds, Taylor Kitsch"
1015,47042000,Looper," Bruce Willis, Joseph Gordon-Levitt,  Noah Segan,  Emily Blunt"
1016,829000000,The Twilight Saga: Breaking Dawn - Part 2,"Kristen Stewart,  Taylor Lautner,  Elizabeth Reaser,  Peter Facinelli,  Robert Pattinson"
1017,132820716,Zero Dark Thirty," Joel Edgerton,  Jason Clarke,  Mark Strong,  Chris Pratt"
1018,33372606,Haywire," Ewan McGregor,  Channing Tatum,  Michael Fassbender"
1019,301000000,Wrath of the Titans,"Sam Worthington,  Ralph Fiennes,  Liam Neeson,  Edgar RamÃ­rez,  Rosamund Pike"
1020,140470746,Step Up Revolution," Ryan Guzman,  Megan Boone,  Stephen Boss,  Jessica Guadix, Kathryn McCormick"
1021,145000000,Chronicle,"Dane DeHaan,  Michael Kelly,  Anna Wood,  Michael B. Jordan,  Alex Russell"
1022,81272766,Act of Valor," Emilio Rivera,  Alexander Asefa,  Gonzalo Menendez"
1023,358375603,Hotel Transylvania," Kevin James, Adam Sandler,  Steve Buscemi,  David Spade"
1024,48126384,End of Watch,"Jake Gyllenhaal,  Natalie Martinez,  Anna Kendrick,  David Harbour,  Michael PeÃ±a"
1025,79700000,What to Expect When You're Expecting," Jennifer Lopez,  Brooklyn Decker, Cameron Diaz,  Anna Kendrick"
1026,179379533,The Dictator," Sayed Badreya,  Aasif Mandvi,  Anna Faris, Sacha Baron Cohen"
1027,100000000,Project X,"Oliver Cooper,  Thomas Mann,  Jonathan Daniel Brown,  Kirby Bliss Blanton,  Dax Flame"
1028,63100000,Contraband," J.K. Simmons,  Giovanni Ribisi, Mark Wahlberg,  Kate Beckinsale"
1029,746921274,Madagascar 3: Europe's Most Wanted," David Schwimmer,  Frances McDormand,  Sacha Baron Cohen"
1030,53676580,Lawless," Guy Pearce,  Jessica Chastain"
