Index,cast,revenue,original_title
1001, Fran Kranz,66486080,The Cabin in the Woods
975,Jeremy Renner,276572938,The Bourne Legacy
1024,Jake Gyllenhaal,48126384,End of Watch
1031, Alice Eve,29657751,The Raven
1004,Dwayne Johnson,355692760,Journey 2: The Mysterious Island
1033, Malin Ã…kerman,2106557,Stolen
1056, Josh Hutcherson,44806783,Red Dawn
986, David Oyelowo,218340595,Jack Reacher
1050, Jean-Luc Bilodeau,8493728,Piranha 3DD
1074, Kevin Hart,96070507,Think Like a Man
1004, Kristin Davis,355692760,Journey 2: The Mysterious Island
1061,Katherine Heigl,36893721,One for the Money
1046, Abbie Cornish,19422261,Seven Psychopaths
1017, Joel Edgerton,132820716,Zero Dark Thirty
1008, Danny DeVito,348840316,The Lorax
971, India Eisley,132400000,Underworld: Awakening
989,Anna Kendrick,115350426,Pitch Perfect
1053, Ray Liotta,37930465,Killing Them Softly
1012, Anne Hathaway,441809770,Les MisÃ©rables
991, Liam Hemsworth,691210692,The Hunger Games
1071,Katie Featherston,142817992,Paranormal Activity 4
1043, Joel Kinnaman,208076205,Safe House
988, Jane Lynch,471222889,Wreck-It Ralph
1031, Kevin McNally,29657751,The Raven
994, Dolph Lundgren,312573423,The Expendables 2
1005, James Hong,40346186,Safe
993, Halle Berry,130482868,Cloud Atlas
982, Jonah Hill,201585328,21 Jump Street
1057, SofÃ­a Vergara,54819301,The Three Stooges
1054, Bruce Willis,16863583,The Cold Light of Day
990,Will Smith,624026776,Men in Black 3
1033, Sami Gayle,2106557,Stolen
1072,Kristen Stewart,8784318,On the Road
1043, Ryan Reynolds,208076205,Safe House
983, Adil Hussain,609016565,Life of Pi
1013,Julia Roberts,183018522,Mirror Mirror
1010, Olivia Thirlby,41037742,Dredd
1076, Sebastian Stan,9627492,The Apparition
1029, David Schwimmer,746921274,Madagascar 3: Europe's Most Wanted
1008, Rob Riggle,348840316,The Lorax
970, Chris Evans,1519557910,The Avengers
1049,Chris Pine,12434778,People Like Us
979,Andrew Garfield,752215857,The Amazing Spider-Man
1041,Charlie Tahan,81491068,Frankenweenie
1029, Frances McDormand,746921274,Madagascar 3: Europe's Most Wanted
1066,Eva Longoria,9622846,For Greater Glory - The True Story of Cristiada
1012,Hugh Jackman,441809770,Les MisÃ©rables
1063, Casey Affleck,107139399,ParaNorman
1026, Sayed Badreya,179379533,The Dictator
993, Hugo Weaving,130482868,Cloud Atlas
998, Bryan Cranston,232324128,Argo
1057,Sean Hayes,54819301,The Three Stooges
1019,Sam Worthington,301000000,Wrath of the Titans
990, Michael Stuhlbarg,624026776,Men in Black 3
978, Jacki Weaver,205738714,Silver Linings Playbook
1045, Jamie Bell,46221189,Man on a Ledge
1008,Zac Efron,348840316,The Lorax
1028, J.K. Simmons,63100000,Contraband
1013, Martin Klebba,183018522,Mirror Mirror
1020, Ryan Guzman,140470746,Step Up Revolution
978, Jennifer Lawrence,205738714,Silver Linings Playbook
1054, Caroline Goodall,16863583,The Cold Light of Day
1026, Aasif Mandvi,179379533,The Dictator
1062, Pauline Collins,59520298,Quartet
1054,Henry Cavill,16863583,The Cold Light of Day
1022, Emilio Rivera,81272766,Act of Valor
991, Elizabeth Banks,691210692,The Hunger Games
1080, Russell Brand,32726956,Katy Perry: Part of Me
981, Sam Claflin,396600000,Snow White and the Huntsman
1035, Amy Adams,28258060,The Master
1010, Jason Cope,41037742,Dredd
1031, Brendan Gleeson,29657751,The Raven
1066, Oscar Isaac,9622846,For Greater Glory - The True Story of Cristiada
1014, Mark Strong,284139100,John Carter
1027,Oliver Cooper,100000000,Project X
1000, Olivia Munn,167221571,Magic Mike
972, Anne Hathaway,1081041287,The Dark Knight Rises
1028, Giovanni Ribisi,63100000,Contraband
1076, Tom Felton,9627492,The Apparition
1052, Carrie-Anne Moss,52302796,Silent Hill: Revelation 3D
1009, Jared Gilman,68263166,Moonrise Kingdom
1070, Dennis Quaid,13231461,The Words
1053,Brad Pitt,37930465,Killing Them Softly
1024, Natalie Martinez,48126384,End of Watch
1021,Dane DeHaan,145000000,Chronicle
1009,Bruce Willis,68263166,Moonrise Kingdom
1044, Benicio del Toro,47000000,Savages
981, Charlize Theron,396600000,Snow White and the Huntsman
1055,Richard Gere,35485056,Arbitrage
970, Mark Ruffalo,1519557910,The Avengers
973, Christoph Waltz,425368238,Django Unchained
983,Suraj Sharma,609016565,Life of Pi
991, Woody Harrelson,691210692,The Hunger Games
1009, Edward Norton,68263166,Moonrise Kingdom
985, Giovanni Ribisi,549368315,Ted
1001, Chris Hemsworth,66486080,The Cabin in the Woods
1063, Jodelle Ferland,107139399,ParaNorman
1035,Joaquin Phoenix,28258060,The Master
979, Rhys Ifans,752215857,The Amazing Spider-Man
1075, Josh Duhamel,4636169,Fire with Fire
1003,Rachel McAdams,196114570,The Vow
1071, Kathryn Newton,142817992,Paranormal Activity 4
1010, Wood Harris,41037742,Dredd
1005,Jason Statham,40346186,Safe
1003, Scott Speedman,196114570,The Vow
1021, Michael Kelly,145000000,Chronicle
999, Thomas Ian Nicholas,234989584,American Reunion
974, Ralph Fiennes,1108561013,Skyfall
979, Emma Stone,752215857,The Amazing Spider-Man
974, Naomie Harris,1108561013,Skyfall
1000,Channing Tatum,167221571,Magic Mike
1023, Kevin James,358375603,Hotel Transylvania
1038, Lennie James,32204030,Lockout
981, Chris Hemsworth,396600000,Snow White and the Huntsman
1006, Anthony Mackie,112265139,Abraham Lincoln: Vampire Hunter
985, Seth MacFarlane,549368315,Ted
971,Kate Beckinsale,132400000,Underworld: Awakening
1064, Lucas Black,8138788,Promised Land
983, Gautam Belur,609016565,Life of Pi
1057, Chris Diamantopoulos,54819301,The Three Stooges
1077,Robert Pattinson,6063556,Cosmopolis
1068,Victoria Justice,11417362,Fun Size
1075,Bruce Willis,4636169,Fire with Fire
1030, Guy Pearce,53676580,Lawless
1022, Alexander Asefa,81272766,Act of Valor
984,John Leguizamo,877244782,Ice Age: Continental Drift
1026, Anna Faris,179379533,The Dictator
1056, Jeffrey Dean Morgan,44806783,Red Dawn
1054, Sigourney Weaver,16863583,The Cold Light of Day
1059, Kerry Washington,22044277,A Thousand Words
1069, WolÃ© Parks,31083599,Premium Rush
1013, Armie Hammer,183018522,Mirror Mirror
1038, Joseph Gilgun,32204030,Lockout
995, Maggie Grace,376141306,Taken 2
984, Chris Wedge,877244782,Ice Age: Continental Drift
1041, Martin Landau,81491068,Frankenweenie
1002, Alec Baldwin,306941670,Rise of the Guardians
1035, Philip Seymour Hoffman,28258060,The Master
1024, Anna Kendrick,48126384,End of Watch
1014, Willem Dafoe,284139100,John Carter
1017, Jason Clarke,132820716,Zero Dark Thirty
994,Sylvester Stallone,312573423,The Expendables 2
1007, Timothy Spall,8106475,Upside Down
1049, Michelle Pfeiffer,12434778,People Like Us
1022, Gonzalo Menendez,81272766,Act of Valor
1028,Mark Wahlberg,63100000,Contraband
996, Jackie Earle Haley,245527149,Dark Shadows
986, Rosamund Pike,218340595,Jack Reacher
1024, David Harbour,48126384,End of Watch
1059, Cliff Curtis,22044277,A Thousand Words
996, Helena Bonham Carter,245527149,Dark Shadows
1049, Elizabeth Banks,12434778,People Like Us
1020, Megan Boone,140470746,Step Up Revolution
972, Gary Oldman,1081041287,The Dark Knight Rises
1030, Jessica Chastain,53676580,Lawless
995, Rade Serbedzija,376141306,Taken 2
987, Tom Holland,180274123,Lo imposible
1074,Michael Ealy,96070507,Think Like a Man
998, John Goodman,232324128,Argo
984, Ray Romano,877244782,Ice Age: Continental Drift
1063, Anna Kendrick,107139399,ParaNorman
1034, Salma Hayek,118338361,The Pirates! In an Adventure with Scientists!
975, Stacy Keach,276572938,The Bourne Legacy
1051, Kyra Sedgwick,85446075,The Possession
983, Irrfan Khan,609016565,Life of Pi
1042, Eva Amurri Martino,58058367,That's My Boy
1070, Jeremy Irons,13231461,The Words
1003, Jessica Lange,196114570,The Vow
995, Famke Janssen,376141306,Taken 2
1002,Chris Pine,306941670,Rise of the Guardians
1020, Stephen Boss,140470746,Step Up Revolution
1053, James Gandolfini,37930465,Killing Them Softly
1007, Heidi Hawkins,8106475,Upside Down
1076, Luke Pasqualino,9627492,The Apparition
1010,Karl Urban,41037742,Dredd
1060, Jean Reno,30353232,Alex Cross
1011,Taylor Kitsch,303025485,Battleship
1065, Zachary Gordon,77112176,Diary of a Wimpy Kid: Dog Days
994, Bruce Willis,312573423,The Expendables 2
1009, Bill Murray,68263166,Moonrise Kingdom
1067, Daniela Ruah,50365377,Red Tails
1046, Christopher Walken,19422261,Seven Psychopaths
1021, Anna Wood,145000000,Chronicle
1045, Elizabeth Banks,46221189,Man on a Ledge
1066, RubÃ©n Blades,9622846,For Greater Glory - The True Story of Cristiada
973, Samuel L. Jackson,425368238,Django Unchained
1020, Jessica Guadix,140470746,Step Up Revolution
1071, Sprague Grayden,142817992,Paranormal Activity 4
1007, Jim Sturgess,8106475,Upside Down
1072, Sam Riley,8784318,On the Road
1056, Adrianne Palicki,44806783,Red Dawn
1032, Alec Baldwin,59418613,Rock of Ages
989, Brittany Snow,115350426,Pitch Perfect
998, Alan Arkin,232324128,Argo
1069, Michael Shannon,31083599,Premium Rush
1038,Guy Pearce,32204030,Lockout
1017, Mark Strong,132820716,Zero Dark Thirty
999, Chris Klein,234989584,American Reunion
1019, Ralph Fiennes,301000000,Wrath of the Titans
1023,Adam Sandler,358375603,Hotel Transylvania
1060, Giancarlo Esposito,30353232,Alex Cross
1008, Taylor Swift,348840316,The Lorax
1060,Tyler Perry,30353232,Alex Cross
1063, Tucker Albrizzi,107139399,ParaNorman
1065,Devon Bostick,77112176,Diary of a Wimpy Kid: Dog Days
1041, Winona Ryder,81491068,Frankenweenie
1045, Ed Harris,46221189,Man on a Ledge
1031,John Cusack,29657751,The Raven
1052,Adelaide Clemens,52302796,Silent Hill: Revelation 3D
1065, Peyton List,77112176,Diary of a Wimpy Kid: Dog Days
986,Tom Cruise,218340595,Jack Reacher
1044,Blake Lively,47000000,Savages
1009, Kara Hayward,68263166,Moonrise Kingdom
1079,Whitney Houston,24637469,Sparkle
1069, Jamie Chung,31083599,Premium Rush
1037, Megan Fox,88058786,This Is 40
1072, Tom Sturridge,8784318,On the Road
977,Noomi Rapace,403170142,Prometheus
1012, Russell Crowe,441809770,Les MisÃ©rables
1036,Emily Blunt,53909751,The Five-Year Engagement
983, Ayush Tandon,609016565,Life of Pi
1016,Kristen Stewart,829000000,The Twilight Saga: Breaking Dawn - Part 2
997, Ezra Miller,33400000,The Perks of Being a Wallflower
1043, Vera Farmiga,208076205,Safe House
1046,Colin Farrell,19422261,Seven Psychopaths
981,Kristen Stewart,396600000,Snow White and the Huntsman
1053, Ben Mendelsohn,37930465,Killing Them Softly
1019, Liam Neeson,301000000,Wrath of the Titans
979, Denis Leary,752215857,The Amazing Spider-Man
1079, Derek Luke,24637469,Sparkle
1077, Juliette Binoche,6063556,Cosmopolis
1037, Maude Apatow,88058786,This Is 40
998, Victor Garber,232324128,Argo
986, Richard Jenkins,218340595,Jack Reacher
1042, Susan Sarandon,58058367,That's My Boy
1076, Julianna Guill,9627492,The Apparition
976, Cate Blanchett,1017003568,The Hobbit: An Unexpected Journey
1000, Matthew McConaughey,167221571,Magic Mike
1036, Chris Pratt,53909751,The Five-Year Engagement
1014, Lynn Collins,284139100,John Carter
1051, Natasha Calis,85446075,The Possession
1060, Matthew Fox,30353232,Alex Cross
979, Martin Sheen,752215857,The Amazing Spider-Man
1033, Danny Huston,2106557,Stolen
987, Ewan McGregor,180274123,Lo imposible
976, Martin Freeman,1017003568,The Hobbit: An Unexpected Journey
1004, Luis GuzmÃ¡n,355692760,Journey 2: The Mysterious Island
1078, Sienna Guillory,240159255,Resident Evil: Retribution
997, Emma Watson,33400000,The Perks of Being a Wallflower
1048, Michael Nyqvist,3428048,Disconnect
980, Emma Thompson,538983207,Brave
1002, Jude Law,306941670,Rise of the Guardians
1071, Matt Shively,142817992,Paranormal Activity 4
1016, Taylor Lautner,829000000,The Twilight Saga: Breaking Dawn - Part 2
970,Robert Downey Jr.,1519557910,The Avengers
1027, Thomas Mann,100000000,Project X
1029, Sacha Baron Cohen,746921274,Madagascar 3: Europe's Most Wanted
1033, Josh Lucas,2106557,Stolen
996, Michelle Pfeiffer,245527149,Dark Shadows
1057, Will Sasso,54819301,The Three Stooges
1058, Tommy Lee Jones,114281051,Hope Springs
1002, Isla Fisher,306941670,Rise of the Guardians
1003, Sam Neill,196114570,The Vow
1075, Vincent D'Onofrio,4636169,Fire with Fire
1027, Jonathan Daniel Brown,100000000,Project X
1054, VerÃ³nica Echegui,16863583,The Cold Light of Day
1032,Tom Cruise,59418613,Rock of Ages
1078, Aryana Engineer,240159255,Resident Evil: Retribution
985,Mark Wahlberg,549368315,Ted
994, Arnold Schwarzenegger,312573423,The Expendables 2
1069,Joseph Gordon-Levitt,31083599,Premium Rush
989, Skylar Astin,115350426,Pitch Perfect
1067, Cuba Gooding Jr.,50365377,Red Tails
1024, Michael PeÃ±a,48126384,End of Watch
1048,Jason Bateman,3428048,Disconnect
1013, Nathan Lane,183018522,Mirror Mirror
1033,Nicolas Cage,2106557,Stolen
1014, CiarÃ¡n Hinds,284139100,John Carter
1011, Rihanna,303025485,Battleship
1058, Steve Carell,114281051,Hope Springs
1050, Matt Bush,8493728,Piranha 3DD
974, Judi Dench,1108561013,Skyfall
1064, Frances McDormand,8138788,Promised Land
999, Seann William Scott,234989584,American Reunion
1027, Kirby Bliss Blanton,100000000,Project X
1073, Bette Midler,119772232,Parental Guidance
984, Seann William Scott,877244782,Ice Age: Continental Drift
1007,Kirsten Dunst,8106475,Upside Down
973,Jamie Foxx,425368238,Django Unchained
995, Luke Grimes,376141306,Taken 2
1034, Brendan Gleeson,118338361,The Pirates! In an Adventure with Scientists!
973, Leonardo DiCaprio,425368238,Django Unchained
992, Kate Beckinsale,198802074,Total Recall
1065, Steve Zahn,77112176,Diary of a Wimpy Kid: Dog Days
1070, Zoe Saldana,13231461,The Words
1068, Jane Levy,11417362,Fun Size
1060, Rachel Nichols,30353232,Alex Cross
980, Kevin McKidd,538983207,Brave
1016, Elizabeth Reaser,829000000,The Twilight Saga: Breaking Dawn - Part 2
1005, Chris Sarandon,40346186,Safe
1073, Marisa Tomei,119772232,Parental Guidance
992, Jessica Biel,198802074,Total Recall
1011, Brooklyn Decker,303025485,Battleship
988, Sarah Silverman,471222889,Wreck-It Ralph
1068, Jackson Nicoll,11417362,Fun Size
1048, Frank Grillo,3428048,Disconnect
1019, Edgar RamÃ­rez,301000000,Wrath of the Titans
1075, Rosario Dawson,4636169,Fire with Fire
1017, Chris Pratt,132820716,Zero Dark Thirty
1004, Josh Hutcherson,355692760,Journey 2: The Mysterious Island
1052, Radha Mitchell,52302796,Silent Hill: Revelation 3D
1079, Carmen Ejogo,24637469,Sparkle
1080, Shannon Woodward,32726956,Katy Perry: Part of Me
972, Tom Hardy,1081041287,The Dark Knight Rises
996, Jonny Lee Miller,245527149,Dark Shadows
1016, Peter Facinelli,829000000,The Twilight Saga: Breaking Dawn - Part 2
1032, Diego Boneta,59418613,Rock of Ages
1014,Taylor Kitsch,284139100,John Carter
994, Jason Statham,312573423,The Expendables 2
1018, Ewan McGregor,33372606,Haywire
1078,Milla Jovovich,240159255,Resident Evil: Retribution
1005, Robert John Burke,40346186,Safe
985, Joel McHale,549368315,Ted
1039, Justin Theroux,24159934,Wanderlust
1032, Bryan Cranston,59418613,Rock of Ages
1039, Jennifer Aniston,24159934,Wanderlust
1023, Steve Buscemi,358375603,Hotel Transylvania
1025, Jennifer Lopez,79700000,What to Expect When You're Expecting
1021, Michael B. Jordan,145000000,Chronicle
1040, Alisa Khazanova,127730736,The Woman in Black
997, Paul Rudd,33400000,The Perks of Being a Wallflower
1035, Laura Dern,28258060,The Master
977, Guy Pearce,403170142,Prometheus
981, Ian McShane,396600000,Snow White and the Huntsman
1023, David Spade,358375603,Hotel Transylvania
1067, David Oyelowo,50365377,Red Tails
1025, Brooklyn Decker,79700000,What to Expect When You're Expecting
1016, Robert Pattinson,829000000,The Twilight Saga: Breaking Dawn - Part 2
1069, Dania Ramirez,31083599,Premium Rush
