Index,cast,revenue,original_title
1046, Woody Harrelson,19422261,Seven Psychopaths
1080, Russell Brand,32726956,Katy Perry: Part of Me
987, Ewan McGregor,180274123,Lo imposible
974, Ralph Fiennes,1108561013,Skyfall
1004, Josh Hutcherson,355692760,Journey 2: The Mysterious Island
1011, Brooklyn Decker,303025485,Battleship
972, Gary Oldman,1081041287,The Dark Knight Rises
984,John Leguizamo,877244782,Ice Age: Continental Drift
1053, Ben Mendelsohn,37930465,Killing Them Softly
1067, David Oyelowo,50365377,Red Tails
1065, Peyton List,77112176,Diary of a Wimpy Kid: Dog Days
985,Mark Wahlberg,549368315,Ted
1019, Edgar RamÃ­rez,301000000,Wrath of the Titans
1068, Jane Levy,11417362,Fun Size
1000, Cody Horn,167221571,Magic Mike
970,Robert Downey Jr.,1519557910,The Avengers
1007, James Kidnie,8106475,Upside Down
1029, Frances McDormand,746921274,Madagascar 3: Europe's Most Wanted
996,Johnny Depp,245527149,Dark Shadows
1002, Hugh Jackman,306941670,Rise of the Guardians
998, Victor Garber,232324128,Argo
1057, Chris Diamantopoulos,54819301,The Three Stooges
1015, Bruce Willis,47042000,Looper
1029,Ben Stiller,746921274,Madagascar 3: Europe's Most Wanted
1064, Rosemarie DeWitt,8138788,Promised Land
983, Irrfan Khan,609016565,Life of Pi
1047, Kristen Bell,24719215,Big Miracle
1038, Lennie James,32204030,Lockout
1022, Nestor Serrano,81272766,Act of Valor
977, Guy Pearce,403170142,Prometheus
1074,Michael Ealy,96070507,Think Like a Man
1020, Stephen Boss,140470746,Step Up Revolution
1033, Danny Huston,2106557,Stolen
1076, Sebastian Stan,9627492,The Apparition
1006, Anthony Mackie,112265139,Abraham Lincoln: Vampire Hunter
1051, Madison Davenport,85446075,The Possession
1032, Alec Baldwin,59418613,Rock of Ages
1011, Alexander SkarsgÃ¥rd,303025485,Battleship
1021, Michael B. Jordan,145000000,Chronicle
1063, Jodelle Ferland,107139399,ParaNorman
1078, Michelle Rodriguez,240159255,Resident Evil: Retribution
971, Theo James,132400000,Underworld: Awakening
1077,Robert Pattinson,6063556,Cosmopolis
1024,Jake Gyllenhaal,48126384,End of Watch
1008, Taylor Swift,348840316,The Lorax
1052,Adelaide Clemens,52302796,Silent Hill: Revelation 3D
994, Bruce Willis,312573423,The Expendables 2
986,Tom Cruise,218340595,Jack Reacher
1047, Vinessa Shaw,24719215,Big Miracle
1042,Adam Sandler,58058367,That's My Boy
981,Kristen Stewart,396600000,Snow White and the Huntsman
1028, Giovanni Ribisi,63100000,Contraband
1027, Jonathan Daniel Brown,100000000,Project X
1058, Steve Carell,114281051,Hope Springs
1005, Catherine Chan,40346186,Safe
1026, Megan Fox,179379533,The Dictator
993, Jim Broadbent,130482868,Cloud Atlas
991,Jennifer Lawrence,691210692,The Hunger Games
1040, CiarÃ¡n Hinds,127730736,The Woman in Black
975, Scott Glenn,276572938,The Bourne Legacy
1032, Julianne Hough,59418613,Rock of Ages
1003, Jessica Lange,196114570,The Vow
1075, Rosario Dawson,4636169,Fire with Fire
976, Martin Freeman,1017003568,The Hobbit: An Unexpected Journey
988, Jack McBrayer,471222889,Wreck-It Ralph
1012,Hugh Jackman,441809770,Les MisÃ©rables
999, Seann William Scott,234989584,American Reunion
997,Logan Lerman,33400000,The Perks of Being a Wallflower
995,Liam Neeson,376141306,Taken 2
1078, Sienna Guillory,240159255,Resident Evil: Retribution
1062, Pauline Collins,59520298,Quartet
1030,Shia LaBeouf,53676580,Lawless
1000,Channing Tatum,167221571,Magic Mike
1040, Sidney Johnston,127730736,The Woman in Black
