Index,revenue,original_title,cast
970,1519557910,The Avengers,"Robert Downey Jr.,  Chris Evans,  Mark Ruffalo,  Scarlett Johansson"
971,132400000,Underworld: Awakening," Theo James,  India Eisley,  Michael Ealy, Kate Beckinsale,  Stephen Rea"
972,1081041287,The Dark Knight Rises," Gary Oldman,  Anne Hathaway,  Tom Hardy, Christian Bale,  Michael Caine"
973,425368238,Django Unchained," Leonardo DiCaprio, Jamie Foxx,  Kerry Washington"
974,1108561013,Skyfall," Ralph Fiennes,  Judi Dench,  Naomie Harris, Daniel Craig"
975,276572938,The Bourne Legacy," Scott Glenn,  Stacy Keach, Jeremy Renner,  Edward Norton"
976,1017003568,The Hobbit: An Unexpected Journey," Martin Freeman,  Richard Armitage, Ian McKellen"
977,403170142,Prometheus," Guy Pearce,  Charlize Theron, Noomi Rapace,  Michael Fassbender"
978,205738714,Silver Linings Playbook," Jacki Weaver, Bradley Cooper,  Robert De Niro,  Chris Tucker"
979,752215857,The Amazing Spider-Man," Denis Leary,  Rhys Ifans"
980,538983207,Brave," Kevin McKidd,  Emma Thompson, Kelly Macdonald"
981,396600000,Snow White and the Huntsman,"Kristen Stewart,  Ian McShane,  Chris Hemsworth"
982,201585328,21 Jump Street,Channing Tatum
983,609016565,Life of Pi," Irrfan Khan,  Gautam Belur,  Adil Hussain,  Ayush Tandon"
984,877244782,Ice Age: Continental Drift,"John Leguizamo,  Chris Wedge,  Seann William Scott"
985,549368315,Ted,"Mark Wahlberg,  Giovanni Ribisi"
986,218340595,Jack Reacher,"Tom Cruise,  David Oyelowo,  Rosamund Pike,  Werner Herzog,  Richard Jenkins"
987,180274123,Lo imposible," Ewan McGregor, Naomi Watts"
988,471222889,Wreck-It Ralph," Jack McBrayer,  Sarah Silverman, John C. Reilly"
989,115350426,Pitch Perfect,"Anna Kendrick,  Skylar Astin,  Anna Camp,  Rebel Wilson"
990,624026776,Men in Black 3," Michael Stuhlbarg, Will Smith,  Tommy Lee Jones,  Josh Brolin"
991,691210692,The Hunger Games,"Jennifer Lawrence,  Liam Hemsworth"
992,198802074,Total Recall," Jessica Biel,  Bill Nighy"
993,130482868,Cloud Atlas," Jim Broadbent,  Jim Sturgess, Tom Hanks,  Halle Berry"
994,312573423,The Expendables 2," Bruce Willis,  Arnold Schwarzenegger,  Dolph Lundgren"
995,376141306,Taken 2,"Liam Neeson,  Maggie Grace,  Luke Grimes,  Famke Janssen,  Rade Serbedzija"
996,245527149,Dark Shadows,"Johnny Depp,  Jackie Earle Haley"
997,33400000,The Perks of Being a Wallflower,"Logan Lerman,  Emma Watson"
998,232324128,Argo," Victor Garber,  John Goodman,  Bryan Cranston, Ben Affleck,  Alan Arkin"
999,234989584,American Reunion," Seann William Scott,  Chris Klein,  Alyson Hannigan"
1000,167221571,Magic Mike," Cody Horn, Channing Tatum,  Olivia Munn"
1001,66486080,The Cabin in the Woods,"Kristen Connolly,  Chris Hemsworth,  Anna Hutchison,  Jesse Williams"
1002,306941670,Rise of the Guardians," Hugh Jackman,  Alec Baldwin,  Isla Fisher, Chris Pine"
1003,196114570,The Vow," Jessica Lange,  Sam Neill,  Scott Speedman"
1004,355692760,Journey 2: The Mysterious Island," Josh Hutcherson, Dwayne Johnson,  Vanessa Hudgens,  Luis GuzmÃ¡n"
1005,40346186,Safe," Catherine Chan, Jason Statham,  Robert John Burke,  James Hong"
1006,112265139,Abraham Lincoln: Vampire Hunter," Anthony Mackie,  Dominic Cooper,  Rufus Sewell"
1007,8106475,Upside Down," James Kidnie, Kirsten Dunst"
1008,348840316,The Lorax," Taylor Swift,  Ed Helms, Zac Efron,  Rob Riggle,  Danny DeVito"
1009,68263166,Moonrise Kingdom," Bill Murray,  Edward Norton,  Kara Hayward"
1010,41037742,Dredd,"Karl Urban,  Olivia Thirlby,  Jason Cope,  Lena Headey"
1011,303025485,Battleship," Brooklyn Decker,  Alexander SkarsgÃ¥rd,  Tadanobu Asano,  Rihanna, Taylor Kitsch"
1012,441809770,Les MisÃ©rables,"Hugh Jackman,  Sacha Baron Cohen,  Anne Hathaway"
1013,183018522,Mirror Mirror," Martin Klebba,  Armie Hammer,  Nathan Lane,  Lily Collins"
1014,284139100,John Carter," Lynn Collins, Taylor Kitsch,  CiarÃ¡n Hinds,  Willem Dafoe"
1015,47042000,Looper," Bruce Willis,  Paul Dano,  Emily Blunt, Joseph Gordon-Levitt"
1016,829000000,The Twilight Saga: Breaking Dawn - Part 2," Robert Pattinson, Kristen Stewart,  Taylor Lautner,  Elizabeth Reaser"
1017,132820716,Zero Dark Thirty," Joel Edgerton,  Mark Strong"
1018,33372606,Haywire," Michael Fassbender,  Channing Tatum, Gina Carano"
1019,301000000,Wrath of the Titans," Edgar RamÃ­rez,  Rosamund Pike,  Ralph Fiennes, Sam Worthington"
1020,140470746,Step Up Revolution," Stephen Boss, Kathryn McCormick,  Jessica Guadix"
1021,145000000,Chronicle," Michael B. Jordan,  Michael Kelly, Dane DeHaan"
1022,81272766,Act of Valor," Nestor Serrano,  Gonzalo Menendez"
1023,358375603,Hotel Transylvania," David Spade,  Kevin James,  Steve Buscemi"
1024,48126384,End of Watch,"Jake Gyllenhaal,  Natalie Martinez,  David Harbour,  Michael PeÃ±a,  Anna Kendrick"
1025,79700000,What to Expect When You're Expecting," Anna Kendrick,  Brooklyn Decker"
1026,179379533,The Dictator," Megan Fox, Sacha Baron Cohen,  Sayed Badreya,  Anna Faris,  Aasif Mandvi"
1027,100000000,Project X," Jonathan Daniel Brown, Oliver Cooper,  Kirby Bliss Blanton,  Dax Flame"
1028,63100000,Contraband," Giovanni Ribisi, Mark Wahlberg,  J.K. Simmons,  Ben Foster"
1029,746921274,Madagascar 3: Europe's Most Wanted," Frances McDormand, Ben Stiller,  David Schwimmer"
1030,53676580,Lawless,"Shia LaBeouf,  Jessica Chastain,  Tom Hardy,  Guy Pearce"
1031,29657751,The Raven, Brendan Gleeson
1032,59418613,Rock of Ages," Alec Baldwin,  Julianne Hough,  Bryan Cranston, Tom Cruise,  Diego Boneta"
1033,2106557,Stolen," Danny Huston,  Josh Lucas,  Malin Ã…kerman,  Sami Gayle"
1034,118338361,The Pirates! In an Adventure with Scientists!," Brendan Gleeson,  Jeremy Piven,  Brian Blessed"
1035,28258060,The Master, Philip Seymour Hoffman
1036,53909751,The Five-Year Engagement," Chris Pratt,  Jason Segel,  Rhys Ifans,  Alison Brie"
1037,88058786,This Is 40," Jason Segel,  Leslie Mann"
1038,32204030,Lockout," Lennie James,  Joseph Gilgun, Guy Pearce,  Maggie Grace,  Peter Stormare"
1039,24159934,Wanderlust,"Paul Rudd,  Justin Theroux,  Lauren Ambrose"
1040,127730736,The Woman in Black," CiarÃ¡n Hinds,  Sidney Johnston,  Mary Stockley"
1041,81491068,Frankenweenie," Winona Ryder,  Catherine O'Hara, Charlie Tahan,  Martin Landau"
1042,58058367,That's My Boy,"Adam Sandler,  Leighton Meester,  Andy Samberg,  Eva Amurri Martino"
1043,208076205,Safe House," Joel Kinnaman, Denzel Washington,  Brendan Gleeson,  Ryan Reynolds,  Vera Farmiga"
1044,47000000,Savages," Salma Hayek,  Taylor Kitsch,  Benicio del Toro"
1045,46221189,Man on a Ledge," Elizabeth Banks, Sam Worthington,  Jamie Bell,  Edward Burns,  Ed Harris"
1046,19422261,Seven Psychopaths," Woody Harrelson,  Abbie Cornish, Colin Farrell"
1047,24719215,Big Miracle," Kristen Bell,  Vinessa Shaw,  Dermot Mulroney,  John Krasinski"
1048,3428048,Disconnect," Frank Grillo, Jason Bateman,  Paula Patton"
1049,12434778,People Like Us," Michelle Pfeiffer,  Olivia Wilde,  Mark Duplass,  Elizabeth Banks"
1050,8493728,Piranha 3DD," Katrina Bowden,  David Koechner, Danielle Panabaker,  Jean-Luc Bilodeau"
1051,85446075,The Possession," Madison Davenport, Jeffrey Dean Morgan,  Rob LaBelle,  Kyra Sedgwick"
1052,52302796,Silent Hill: Revelation 3D,"Adelaide Clemens,  Kit Harington,  Carrie-Anne Moss,  Radha Mitchell"
1053,37930465,Killing Them Softly," Ben Mendelsohn,  Ray Liotta,  Scoot McNairy"
1054,16863583,The Cold Light of Day," VerÃ³nica Echegui, Henry Cavill,  Sigourney Weaver"
1055,35485056,Arbitrage, Susan Sarandon
1056,44806783,Red Dawn,"Chris Hemsworth,  Josh Hutcherson,  Jeffrey Dean Morgan"
1057,54819301,The Three Stooges," Chris Diamantopoulos,  SofÃ­a Vergara, Sean Hayes,  Will Sasso,  Jane Lynch"
1058,114281051,Hope Springs," Steve Carell, Meryl Streep,  Jean Smart,  Marin Ireland,  Tommy Lee Jones"
1059,22044277,A Thousand Words," Kerry Washington,  Allison Janney,  Clark Duke, Eddie Murphy"
1060,30353232,Alex Cross," Rachel Nichols,  Matthew Fox, Tyler Perry"
1061,36893721,One for the Money," Debbie Reynolds,  Patrick Fischler, Katherine Heigl,  John Leguizamo"
1062,59520298,Quartet," Pauline Collins,  Tom Courtenay,  Billy Connolly,  Michael Gambon"
1063,107139399,ParaNorman," Jodelle Ferland,  Anna Kendrick,  Tucker Albrizzi,  Casey Affleck"
1064,8138788,Promised Land," Rosemarie DeWitt, Matt Damon,  John Krasinski"
1065,77112176,Diary of a Wimpy Kid: Dog Days," Peyton List,  Steve Zahn, Devon Bostick"
1066,9622846,For Greater Glory - The True Story of Cristiada," Oscar Isaac,  RubÃ©n Blades,  Andy GarcÃ­a"
1067,50365377,Red Tails," David Oyelowo,  Terrence Howard,  Daniela Ruah, Bryan Cranston"
1068,11417362,Fun Size," Jane Levy,  Chelsea Handler"
1069,31083599,Premium Rush," WolÃ© Parks,  Michael Shannon"
1070,13231461,The Words," Zoe Saldana,  Olivia Wilde,  Jeremy Irons,  Dennis Quaid"
1071,142817992,Paranormal Activity 4," Sprague Grayden,  Kathryn Newton, Katie Featherston,  Matt Shively"
1072,8784318,On the Road," Tom Sturridge,  Kirsten Dunst"
1073,119772232,Parental Guidance," Marisa Tomei,  Bailee Madison,  Tom Everett Scott,  Bette Midler"
1074,96070507,Think Like a Man,"Michael Ealy,  Regina Hall,  Kevin Hart"
1075,4636169,Fire with Fire," Rosario Dawson,  Vincent D'Onofrio, Bruce Willis,  Josh Duhamel"
1076,9627492,The Apparition," Sebastian Stan,  Luke Pasqualino"
1077,6063556,Cosmopolis,"Robert Pattinson,  Samantha Morton,  Sarah Gadon,  Juliette Binoche"
1078,240159255,Resident Evil: Retribution," Michelle Rodriguez,  Sienna Guillory,  Li Bingbing, Milla Jovovich"
1079,24637469,Sparkle," Cee Lo Green,  Carmen Ejogo, Whitney Houston"
1080,32726956,Katy Perry: Part of Me," Russell Brand,  Rachael Markarian, Katy Perry,  Shannon Woodward,  Mia Moretti"
