Index,City,Latitude,Country
501,sainte-thecle,46.82,CA
71,bluff,-46.6,NZ
261,hay river,60.82,CA
507,ontario,34.06,US
258,kyabe,9.45,TD
324,broome,42.25,US
231,meulaboh,4.14,ID
488,divnomorskoye,44.5,RU
270,khor,47.89,RU
391,sovetskiy,61.36,RU
134,niimi,34.98,JP
486,ulaangom,49.98,MN
579,luanda,-8.84,AO
347,ponta delgada,37.73,PT
268,vaitape,-16.52,PF
362,vieux-habitants,16.06,GP
297,benghazi,32.12,LY
459,mersing,2.43,MY
184,rochester,43.15,US
342,paombong,14.83,PH
434,ewa beach,21.32,US
8,puerto ayora,-0.74,EC
536,biak,-0.91,ID
160,lunenburg,44.38,CA
530,kieta,-6.22,PG
83,rafaela,-31.25,AR
345,alugan,12.22,PH
538,nokaneng,-19.67,BW
527,jalu,29.03,LY
289,aksu,41.12,CN
378,petatlan,17.52,MX
438,chapais,49.78,CA
407,wadi musa,30.32,JO
402,ormond beach,29.29,US
277,vostok,46.49,RU
143,kavieng,-2.57,PG
245,bayangol,50.7,RU
240,staryy nadym,65.61,RU
112,klaksvik,62.23,FO
50,jamestown,42.1,US
320,guerrero negro,27.98,MX
425,maniitsoq,65.42,GL
187,torbay,47.67,CA
430,progress,40.29,US
60,mar del plata,-38.0,AR
221,falmouth,50.15,GB
3,xichang,27.9,CN
21,tasiilaq,65.61,GL
78,shieli,44.17,KZ
164,tura,25.52,IN
366,mananjary,-21.22,MG
311,durres,41.32,AL
274,upington,-28.45,ZA
147,letpadan,17.78,MM
308,margate,51.38,GB
19,warmbad,-28.45,
276,conceicao da barra,-18.59,BR
448,poum,-20.23,NC
238,kongolo,-5.38,CD
42,illapel,-31.63,CL
445,doha,25.29,QA
148,shache,38.42,CN
204,esperance,-33.87,AU
417,opuwo,-18.06,
195,dire dawa,9.59,ET
558,nouakchott,18.09,MR
354,tateyama,34.98,JP
173,nizwa,22.93,OM
427,fort oglethorpe,34.95,US
162,henties bay,-22.12,
73,mantua,45.17,IT
6,punta arenas,-53.15,CL
211,taunggyi,20.78,MM
569,terrak,65.09,NO
431,sur,22.57,OM
409,almeirim,-1.52,BR
153,ponta do sol,32.67,PT
522,camacari,-12.7,BR
562,chabahar,25.29,IR
340,moron,-34.65,AR
521,kiama,-34.68,AU
172,atasu,48.68,KZ
214,baherden,38.44,TM
495,matera,40.5,IT
54,katsuura,35.13,JP
23,vao,-22.67,NC
275,williams lake,52.14,CA
113,magalia,39.81,US
466,lorca,37.67,ES
473,olinda,-8.01,BR
259,bambanglipuro,-7.95,ID
535,gwadar,25.12,PK
140,rockland,41.17,US
149,sinnamary,5.38,GF
414,vila franca do campo,37.72,PT
75,lamar,33.67,US
585,benjamin aceval,-24.97,PY
446,jalingo,8.88,NG
180,pevek,69.7,RU
103,ushumun,52.78,RU
348,ambam,2.38,CM
284,duzce,40.84,TR
528,coquimbo,-29.95,CL
436,valparaiso,-33.04,CL
76,sambava,-14.27,MG
531,nola,40.92,IT
68,son la,21.32,VN
335,okato,-39.2,NZ
496,ayan,56.45,RU
97,orange cove,36.62,US
355,quang ngai,15.12,VN
584,black forest,39.01,US
411,boyolangu,-8.12,ID
560,jiwani,25.05,PK
174,kommunisticheskiy,61.68,RU
