0,0,0,0,1,0,0
1,1,1,1,1,1,1
2+1,3+1,2+2,1,2,2,2+1
2,2,2,2,2,2,2
1,2,1,1,2,2,1
3,3,3,3,3,3,3
1,1,1,1,1,1,1
0,0,0,0,0,0,0
1,1,1,1,1,1,1
1,2,2,1,2,2,1
1,1,1,1,1,1,1
0,0,0,0,0,0,0
1,1,1,0,1,1,1
1,2,1,1,2,1,1
3,3,3,3,3,3,3
0,0,0,0,0,0,0
Both,Both,Both,Both,Both,Both,Both
Twin beds or King (twin connected),King (twin connected),King (twin connected),Double bed (bedroom),Round bedroom,King,Twin beds or King (twin connected)
0,0,0,0,1,0,0
68,11,17,5,1,5,102
Double Balcony,Suite,Studio,Single Room,Presidential Suite,Deluxe Suite,Double No Balcony
0,0,0,0,1,0,0
0,0,0,0,1,0,0
Mountain,Mountain,Mountain,Mountain,Mountain,Mountain,Mountain
1,1,1,1,1,1,1
0,0,0,0,0,0,0
2,2,2,2,2,2,2
0,0,0,0,1,0,0
"Yes, Free","Yes, Free","Yes, Free","Yes, Free","Yes, Free","Yes, Free","Yes, Free"
37 m2, 64 m2,45 m2,25 m2,80 m2,64 m2,34 m2
1,1,1,1,1,1,1
Carpet,Carpet,Carpet,Carpet,Carpet,Carpet,Carpet
Bedroom and Bathroom,Bedroom / Living room / Bathroom,Bedroom Relax corner / Bathroom,Bedroom and Bathroom,Bedroom / Living Room / Dinning Room/,Bedroom/ Living Room / Bathroom,Bedroom and Bathroom
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,0,1,1,1,0
0,0,0,0,0,0,0
1,1,1,1,1,1,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,1,1,1,1,1,1
0,0,0,0,0,0,0
