index,continent,country,gdpPercap_1952,lifeExp_1952,gdpPercap_1957,lifeExp_1957,gdpPercap_1962,lifeExp_1962,gdpPercap_1967,lifeExp_1967,gdpPercap_1972,lifeExp_1972,gdpPercap_1977,lifeExp_1977,gdpPercap_1982,lifeExp_1982,gdpPercap_1987,lifeExp_1987,gdpPercap_1992,lifeExp_1992,gdpPercap_1997,lifeExp_1997,gdpPercap_2002,lifeExp_2002,gdpPercap_2007,lifeExp_2007
0,Africa,Algeria,2449.008185,43.077,3013.976023,45.685,2550.81688,48.303000000000004,3246.991771,51.407,4182.663766,54.518,4910.416756000001,58.013999999999996,5745.160213,61.368,5681.358539,65.79899999999999,5023.216647,67.744,4797.295051,69.152,5288.040382,70.994,6223.367465,72.301
1,Africa,Angola,3520.610273,30.015,3827.9404649999997,31.999000000000002,4269.276742,34.0,5522.776375,35.985,5473.2880049999985,37.928000000000004,3008.647355,39.483000000000004,2756.953672,39.942,2430.208311,39.906,2627.8456850000002,40.647,2277.140884,40.963,2773.287312,41.003,4797.231267,42.731
2,Africa,Benin,1062.7522,38.223,959.6010805,40.358000000000004,949.4990641,42.618,1035.831411,44.885,1085.796879,47.013999999999996,1029.161251,49.19,1277.897616,50.903999999999996,1225.85601,52.336999999999996,1191.207681,53.919,1232.975292,54.777,1372.877931,54.40600000000001,1441.284873,56.728
3,Africa,Botswana,851.2411407,47.622,918.2325348999999,49.618,983.6539764,51.52,1214.709294,53.298,2263.6111140000007,56.023999999999994,3214.857818,59.318999999999996,4551.14215,61.483999999999995,6205.88385,63.622,7954.111645,62.745,8647.142313,52.556000000000004,11003.60508,46.63399999999999,12569.851770000001,50.728
4,Africa,Burkina Faso,543.2552413,31.975,617.1834647999998,34.906,722.5120206,37.814,794.8265597,40.696999999999996,854.7359763000003,43.591,743.3870368,46.137,807.1985855,48.122,912.0631417000001,49.556999999999995,931.7527731,50.26,946.2949617999999,50.324,1037.645221,50.65,1217.032994,52.295
5,Africa,Burundi,339.29645869999996,39.031,379.56462810000016,40.533,355.2032273,42.045,412.97751360000007,43.548,464.0995039,44.056999999999995,556.1032651,45.91,559.6032309999998,47.471000000000004,621.8188188999999,48.21100000000001,631.6998778,44.736000000000004,463.1151478,45.326,446.4035126,47.36,430.07069160000003,49.58
6,Africa,Cameroon,1172.667655,38.523,1313.048099,40.428000000000004,1399.607441,42.643,1508.453148,44.799,1684.1465280000002,47.049,1783.432873,49.355,2367.983282,52.96100000000001,2602.664206,54.985,1793.1632780000002,54.31399999999999,1694.337469,52.199,1934.0114489999999,49.856,2042.0952399999999,50.43
7,Africa,Central African Republic,1071.310713,35.463,1190.844328,37.464,1193.068753,39.475,1136.056615,41.478,1070.013275,43.457,1109.374338,46.775,956.7529906999999,48.295,844.8763504000003,50.485,747.9055252,49.396,740.5063317,46.066,738.6906068,43.308,706.016537,44.74100000000001
8,Africa,Chad,1178.665927,38.092,1308.495577,39.881,1389.817618,41.716,1196.810565,43.601000000000006,1104.103987,45.568999999999996,1133.98495,47.383,797.9081006,49.516999999999996,952.3861289999999,51.051,1058.0643,51.724,1004.9613529999999,51.573,1156.18186,50.525,1704.0637239999999,50.651
9,Africa,Comoros,1102.990936,40.715,1211.1485480000001,42.46,1406.648278,44.467,1876.029643,46.472,1937.577675,48.943999999999996,1172.603047,50.93899999999999,1267.100083,52.933,1315.980812,54.926,1246.90737,57.93899999999999,1173.618235,60.66,1075.811558,62.974,986.1478792000001,65.152
