imdb_id,cast
tt0120630," Miranda Richardson,  Miranda Richardson, Mel Gibson,  Jane Horrocks,  Imelda Staunton,  Timothy Spall,  Jane Horrocks,  Imelda Staunton,  Timothy Spall,  Miranda Richardson,  Miranda Richardson,  Imelda Staunton,  Imelda Staunton,  Jane Horrocks, Mel Gibson, Mel Gibson,  Timothy Spall,  Jane Horrocks,  Jane Horrocks,  Imelda Staunton, Mel Gibson,  Timothy Spall,  Miranda Richardson,  Timothy Spall, Mel Gibson"
tt0120667,"Ioan Gruffudd,  Julian McMahon,  Chris Evans,  Michael Chiklis,  Julian McMahon,  Jessica Alba,  Chris Evans,  Chris Evans,  Jessica Alba,  Chris Evans,  Michael Chiklis,  Michael Chiklis,  Michael Chiklis,  Michael Chiklis,  Jessica Alba, Ioan Gruffudd,  Chris Evans, Ioan Gruffudd,  Jessica Alba,  Julian McMahon, Ioan Gruffudd,  Julian McMahon,  Jessica Alba,  Julian McMahon, Ioan Gruffudd"
tt0120679,"Salma Hayek,  Patricia Reyes SpÃ­ndola, Salma Hayek,  Patricia Reyes SpÃ­ndola,  Diego Luna,  Alfred Molina, Salma Hayek,  Alfred Molina, Salma Hayek,  MÃ­a Maestro,  Alfred Molina,  Diego Luna,  MÃ­a Maestro, Salma Hayek,  MÃ­a Maestro,  Patricia Reyes SpÃ­ndola,  Diego Luna,  Alfred Molina,  Alfred Molina,  Patricia Reyes SpÃ­ndola,  MÃ­a Maestro,  Patricia Reyes SpÃ­ndola,  MÃ­a Maestro,  Diego Luna,  Diego Luna"
tt0120681," Ian Richardson,  Heather Graham,  Ian Richardson,  Ian Holm,  Robbie Coltrane,  Robbie Coltrane,  Ian Holm,  Ian Holm,  Heather Graham,  Ian Richardson, Johnny Depp,  Robbie Coltrane, Johnny Depp,  Ian Richardson, Johnny Depp,  Robbie Coltrane, Johnny Depp,  Ian Richardson,  Heather Graham,  Ian Holm,  Ian Holm,  Heather Graham,  Heather Graham, Johnny Depp,  Robbie Coltrane"
tt0120737," Ian McKellen,  Liv Tyler,  Liv Tyler,  Ian McKellen, Elijah Wood,  Liv Tyler,  Ian McKellen,  Orlando Bloom,  Viggo Mortensen,  Orlando Bloom,  Viggo Mortensen,  Ian McKellen,  Viggo Mortensen,  Liv Tyler,  Viggo Mortensen, Elijah Wood, Elijah Wood, Elijah Wood, Elijah Wood,  Liv Tyler,  Orlando Bloom,  Viggo Mortensen,  Orlando Bloom,  Orlando Bloom,  Ian McKellen"
tt0120755," Richard Roxburgh, Tom Cruise,  Richard Roxburgh,  Thandie Newton,  Thandie Newton,  Dougray Scott,  Dougray Scott, Tom Cruise,  Ving Rhames, Tom Cruise,  Ving Rhames,  Ving Rhames,  Ving Rhames, Tom Cruise,  Thandie Newton,  Richard Roxburgh,  Dougray Scott,  Dougray Scott,  Richard Roxburgh,  Richard Roxburgh,  Thandie Newton,  Ving Rhames,  Dougray Scott, Tom Cruise,  Thandie Newton"
tt0120804," Oscar Pearce,  Ryan McCluskey,  Eric Mabius,  Eric Mabius,  Ryan McCluskey,  Oscar Pearce,  Eric Mabius,  Michelle Rodriguez,  Eric Mabius, Milla Jovovich,  Oscar Pearce,  Ryan McCluskey,  Michelle Rodriguez,  Oscar Pearce,  Oscar Pearce,  Eric Mabius, Milla Jovovich, Milla Jovovich,  Ryan McCluskey,  Ryan McCluskey, Milla Jovovich,  Michelle Rodriguez, Milla Jovovich,  Michelle Rodriguez,  Michelle Rodriguez"
tt0120903," Famke Janssen,  Hugh Jackman,  Ian McKellen,  Hugh Jackman,  Famke Janssen,  Famke Janssen,  Halle Berry,  Ian McKellen, Patrick Stewart,  Halle Berry, Patrick Stewart,  Hugh Jackman,  Hugh Jackman,  Ian McKellen,  Halle Berry, Patrick Stewart,  Ian McKellen, Patrick Stewart,  Famke Janssen,  Halle Berry,  Hugh Jackman,  Ian McKellen,  Famke Janssen, Patrick Stewart,  Halle Berry"
tt0120912," Johnny Knoxville, Tommy Lee Jones,  Johnny Knoxville, Tommy Lee Jones,  Johnny Knoxville,  Rip Torn,  Lara Flynn Boyle,  Johnny Knoxville,  Lara Flynn Boyle,  Lara Flynn Boyle,  Rip Torn,  Johnny Knoxville,  Lara Flynn Boyle,  Rip Torn, Tommy Lee Jones,  Will Smith, Tommy Lee Jones,  Will Smith,  Rip Torn,  Will Smith,  Will Smith, Tommy Lee Jones,  Rip Torn,  Will Smith,  Lara Flynn Boyle"
tt0120913," Drew Barrymore,  Drew Barrymore,  Drew Barrymore,  John Leguizamo, Matt Damon,  Nathan Lane, Matt Damon, Matt Damon, Matt Damon,  Bill Pullman,  Nathan Lane,  John Leguizamo,  Nathan Lane,  Nathan Lane,  Bill Pullman,  Bill Pullman,  Nathan Lane, Matt Damon,  Bill Pullman,  Drew Barrymore,  John Leguizamo,  Drew Barrymore,  John Leguizamo,  Bill Pullman,  John Leguizamo"
tt0120917,"David Spade,  John Goodman, David Spade,  Wendie Malick,  John Goodman,  Wendie Malick,  Patrick Warburton,  Wendie Malick,  Patrick Warburton,  John Goodman, David Spade,  Eartha Kitt, David Spade,  John Goodman,  Patrick Warburton,  Patrick Warburton, David Spade,  Eartha Kitt,  Eartha Kitt,  John Goodman,  Patrick Warburton,  Eartha Kitt,  Wendie Malick,  Wendie Malick,  Eartha Kitt"
tt0121164," Paul Whitehouse,  Tracey Ullman,  Helena Bonham Carter,  Paul Whitehouse,  Helena Bonham Carter,  Emily Watson,  Helena Bonham Carter,  Tracey Ullman,  Emily Watson,  Tracey Ullman, Johnny Depp,  Helena Bonham Carter,  Paul Whitehouse,  Emily Watson, Johnny Depp,  Tracey Ullman, Johnny Depp,  Helena Bonham Carter,  Emily Watson,  Paul Whitehouse, Johnny Depp,  Paul Whitehouse, Johnny Depp,  Emily Watson,  Tracey Ullman"
tt0121765," Samuel L. Jackson,  Samuel L. Jackson,  Hayden Christensen,  Ian McDiarmid,  Natalie Portman,  Natalie Portman,  Samuel L. Jackson,  Samuel L. Jackson, Ewan McGregor, Ewan McGregor,  Natalie Portman, Ewan McGregor,  Hayden Christensen, Ewan McGregor,  Hayden Christensen,  Ian McDiarmid,  Natalie Portman, Ewan McGregor,  Samuel L. Jackson,  Ian McDiarmid,  Natalie Portman,  Hayden Christensen,  Hayden Christensen,  Ian McDiarmid,  Ian McDiarmid"
tt0121766," Samuel L. Jackson,  Samuel L. Jackson, Ewan McGregor,  Ian McDiarmid,  Ian McDiarmid,  Samuel L. Jackson,  Natalie Portman, Ewan McGregor,  Natalie Portman,  Hayden Christensen,  Ian McDiarmid,  Ian McDiarmid,  Natalie Portman, Ewan McGregor,  Samuel L. Jackson,  Hayden Christensen, Ewan McGregor, Ewan McGregor,  Hayden Christensen,  Samuel L. Jackson,  Ian McDiarmid,  Natalie Portman,  Hayden Christensen,  Hayden Christensen,  Natalie Portman"
