correction,misspell
tunnel_like,tunnellike
minimum,minum
attentively,atentively
consonant,consident
discussion,disssicion
circumstances,circumstaces
necessary, necesser
companies,companys
tomorrow,tommorrow
appreciate,appresteate
rampantly,ramplily
precision,precion
complicated,compicated
running,runnung
intelligent, intelejent
leisure,lesure
superfluous,superfulous
pronunciation,pronensiation
committee, commitee
encyclopedia,encyclapidia
flattering,flatterring
exhilaration,exhileration
tragedy,tradegy
independent,independant
throughout,thruout
simply,simplye
monkey, monkay
etiology,eitiology
politic,politict
recommend,reccomend
directly,direcyly
intelligent, intelegnent
want,mant
bleat,blait
colon,coaln
discuss,discuess
announce,annuncio
kilometer,lilometer
circle, circue
dog, doog
in_fact,infact
test,tesst
simplicity,cimplicity
frustrating,frustartaion
dangle,dongle
miscellaneous,misilous
crucifixion,crucifiction
utmost,upmost
grammar,grammer
leave,leasve
illegitimate,illegitament
judgement,judgment
existence, existance
dangerous,danguages
weaken,wicken
destroy,distroy
permission,permition
section,secion
prefixed,prefixt
neighbor,neighbour
drunkenness,drunkeness
polypropylene,polypropalene
announcement,annonsment
immanent,immenant
practical,practicle
stomach,stumach
pronunciation, pronounciation
description,descrption
receive,recieve
site,sitte
divulge,devulge
losing,lossing
height,heighth
intelligent, inteligent
hypothesis,hypotathes
bureau,beauro
acquire,equire
liaison,liason
organize,organise
error,errara
butter,buder
parameter,parametic
environment,enviroment
intelligent, intejilent
engine,engins
development, develpond
arctic,artic
phonetic,funetik
dramatically,dramaticly
recurring,reoccurring
ward,whard
volley,volye
cheat,cheet
roughly,rought
insidious,incedious
hyphen, hiphine
unfortunately, unfortunently
environmental, invermeantial
prerogative,perogative
wait,waite
definitely,definately
at,ast
occurrence,occurence
draft,deaft
won't,wan't
horse,hourse
satisfy,satifly
tomorrow, tomorow
explicitly, explity
commitment,comitmment
anoint,annoint
inadvertent,inadvertant
archetype,archeype
titillate,titalate
combo,cumba
download,doenload
better,metter
caveats,cravets
believe, belive
sonic,soonec
ecstasy,ecstacy
most_likely,mostlikely
environmental,envireminakl
bureaucracy, buracracy
more,mroe
preceding,preceeding
efficient,efficat
recognize,reconise
all_right,alright
fantasy,famdasy
international,internation
lesion,liasion
crazy,crasy
execution,excution
alive,allieve
library,libary
hyphen, hifine
RSX,rsx
developments,develepment
resemblance,reseblence
interested,intertes
dependable,dependeble
daily,daly
dynamic, dynaic
espresso,expresso
help, hellp
ambivalent,ambivilant
implements,implemtes
interface,inerface
generally,generly
bureaucracy,beaurocracy
police,pollice
behavior,behaviour
test, ttest
committee,comitte
segments,segements
repetition,repitition
bureaucracy, burracracy
accommodate, acommadate
gradually,gradualy
yield,yeild
kilometre,lilometer
epitome,epitomy
unconscious,unconscience
ability,abilitey
exceed,excede
hello, helo
defense,defence
acquaintance,aquantance
definite,definate
straitjacket,straightjacket
interpreter,interpretter
gotten,gotton
column,columne
embarrassment,embarassment
housing,houssing
pursue,persue
accord,acord
computer,comupter
madness,maddness
cockamamie,cocamena
government, gobernement
cemetery,cemetary
Presbyterian,presbyterian
crucified,crusifed
except,excpt
peremptory,preemptory
politician,polation
hyphen, hyfin
safely,saftly
permissive,permmasivie
croak,croke
during,duren
tests,tets
millennium,millenium
scrabble,scrabdle
evaluation,evaualtion
dissipate,disippate
anatomy,anonomy
consensus,concensus
encyclopedia, encyclopia
steering,stering
elegant,elagent
unconstitutional,unconisitional
particular,partrucal
laser,luser
interpret,interpretate
hippopotamus,hippopotamous
existence,egsistence
in_case,incase
mike,mic
theoretical,teridical
benefits,benidifs
intelligent, intellgnt
the,teh
student,stutent
anatomy, anotomy
came,gamne
occasionally, occusionaly
irritable,irritible
synchronization,syncorization
picturesque,picaresque
disagree,diagree
bankrupt,bankrot
sherbet,sherbert
dynamic,dymatic
specifically,specificialy
festival,fistival
alcohol,alchohol
favor,faver
critique, ctitique
privilege,privielage
independent, independenent
hello, herlo
themselves,theirselves
old,olf
objects,objectsion
inefficient,inefficite
uranium,uranisium
beginning, bigginging
problematic,proplematic
theoretical, theridically
indent,ident
version,verison
pattern,patten
efficacy,efficity
pursue, presue
government, gobernment
basically,basicly
this,ths
media,midia
nickelodeon,nickleodeon
majority,majaerly
separate,seperate
hypothesis, hypotathese
unnatural,unatourral
fax,faxe
naive,nieve
beginning, beging
foresee,forsee
memory,meory
enlightenment,enligtment
precision, precios
necessary,neccessary
than_or,thanot
accommodate,accomodate
humanity,humaniti
committed,commited
broccoli,brocolli
trouble,trubbel
behaviour,behavior
due,dur
defence,defense
intelligent, intellegent
description, descrptn
happily,hapily
incomplete, incomplot
warlord,warloord
maximum,maxium
respectfully,respecally
higher,higer
voluntarism,volunteerism
embarrass,embarass
sponsored,sponsered
orient,orientate
contribution,conibation
vinaigrette,vinagarette
unfortunately,unformanlly
in_depth,indepth
up_cast,upcast
supersede,supercede
initialized, initized
efforts,effots
initial,inital
occasionally,accosinly
about,abouy
pursued,presued
occasion,ocassion
eventually,evtually
playwright,playwrite
psychologist, psycolagest
maintenance,maintanence
dinosaur, dinasour
credibility,credetability
caller,cauler
smile,smil
substitutions, substations
guard,gaurd
help,heellp
pragmatism,pragmaticism
minuscule,miniscule
coolly,cooly
organize, organiz
architecture, aricticure
fiery,firey
asterisk,asterick
replacement,replasments
colleague,colleaque
salute,salut
likely,likly
inconvenient,inconvenant
fantasia,phantasia
rank,wrank
expedient,exspidient
