Item ,Qty,Unit Price,Total Price
Longfellow Academy,,,
Wogaman,,,
Transportation,,,
Westwood,,,
2,2.0,,
Dunbar High School,,,
Longfellow Academy,,,
Kiser,,,
Meadowdale PK-8,,,
Wright Brothers,,,
Rosa Parks PK,,,
Meadowdale PK-8,,,
Ruskin PK-8,,,
5,12.0,,0.0
Jackson Center,,,
Kiser,,,
Belle Haven,,,
Longfellow Academy,,,
Charity Adams,,,
World of Wonder,,,
River's Edge,,,
Transportation,,,
Belle Haven,,,
Westwood,,,
Ludlow I NOC,,,
Service Building,,,
David H. Ponitz CTC,,,
Kemp PK-8,,,
Ruskin PK-8,,,
Edwin Joel Brown,,,
Stivers School for the Arts,,,
Louise Troy PK-8,,,
Cleveland,,,
Thurgood Marshall,,,
Wogaman,,,
Meadowdale HS,,,
Ruskin PK-8,,,
Wogaman,,,
Edwin Joel Brown,,,
Dunbar High School,,,
David H. Ponitz CTC,,,
World of Wonder,,,
Gardendale,,,
Cleveland,,,
Wogaman,,,
Thurgood Marshall,,,
Longfellow Academy,,,
Ludlow I,,,
Ludlow I NOC,,,
Welcome Stadium,,,
Ludlow I,,,
Jackson Center,,,
Kemp PK-8,,,
Horace Mann PK-8,,,
Rosa Parks PK,,,
David H. Ponitz CTC,,,
Gardendale,,,
Edwin Joel Brown,,,
Belle Haven,,,
Wright Brothers,,,
Ludlow I NOC,,,
Ludlow I,,,
Wogaman,,,
Louise Troy PK-8,,,
River's Edge,,,
Charity Adams,,,
Longfellow Academy,,,
Fairview ,,,
Belle Haven,,,
Valerie,,,
Kiser,,,
World of Wonder,,,
Louise Troy PK-8,,,
Ludlow I NOC,,,
Wogaman,,,
1,1.0,,
Edison PK-8,,,
Horace Mann PK-8,,,
Valerie,,,
Kemp PK-8,,,
Welcome Stadium,,,
Ludlow I NOC,,,
Dunbar High School,,,
Dayton Boys Prep Academy,,,
Louise Troy PK-8,,,
Westwood,,,
Stivers School for the Arts,,,
David H. Ponitz CTC,,,
Cleveland,,,
Louise Troy PK-8,,,
River's Edge,,,
Edison PK-8,,,
Louise Troy PK-8,,,
Westwood,,,
Thurgood Marshall,,,
Horace Mann PK-8,,,
Edison PK-8,,,
Westwood,,,
David H. Ponitz CTC,,,
Rosa Parks PK,,,
Service Building,,,
Edwin Joel Brown,,,
Eastmont PK-8,,,
Kiser,,,
Transportation,,,
Ludlow I,,,
Valerie,,,
Kiser,,,
Valerie,,,
Gardendale,,,
Kemp PK-8,,,
Edwin Joel Brown,,,
Valerie,,,
Kemp PK-8,,,
Wright Brothers,,,
Service Building,,,
Welcome Stadium,,,
Ruskin PK-8,,,
Service Building,,,
Jackson Center,,,
2,2.0,,
1,1.0,,
David H. Ponitz CTC,,,
Horace Mann PK-8,,,
Ludlow I NOC,,,
Transportation,,,
Ludlow I NOC,,,
Gardendale,,,
Ludlow I,,,
Meadowdale PK-8,,,
Welcome Stadium,,,
Edwin Joel Brown,,,
Gardendale,,,
Eastmont PK-8,,,
Dunbar High School,,,
Meadowdale HS,,,
Wright Brothers,,,
Dayton Boys Prep Academy,,,
Charity Adams,,,
Edison PK-8,,,
Belle Haven,,,
Ludlow I,,,
Kiser,,,
Longfellow Academy,,,
Cleveland,,,
Meadowdale HS,,,
Horace Mann PK-8,,,
Stivers School for the Arts,,,
Thurgood Marshall,,,
Edwin Joel Brown,,,
Transportation,,,
Cleveland,,,
Edwin Joel Brown,,,
Fairview ,,,
Meadowdale PK-8,,,
River's Edge,,,
Ludlow I,,,
Stivers School for the Arts,,,
Belle Haven,,,
Westwood,,,
Belle Haven,,,
Rosa Parks PK,,,
Valerie,,,
Fairview ,,,
Horace Mann PK-8,,,
Rosa Parks PK,,,
Wright Brothers,,,
Longfellow Academy,,,
Service Building,,,
Cleveland,,,
Dunbar High School,,,
Edwin Joel Brown,,,
Jackson Center,,,
Welcome Stadium,,,
2,1.0,,
Dunbar High School,,,
Service Building,,,
Transportation,,,
Stivers School for the Arts,,,
Horace Mann PK-8,,,
Kiser,,,
Kemp PK-8,,,
Valerie,,,
Ruskin PK-8,,,
Thurgood Marshall,,,
Gardendale,,,
Service Building,,,
Kemp PK-8,,,
Thurgood Marshall,,,
Jackson Center,,,
Stivers School for the Arts,,,
Eastmont PK-8,,,
Rosa Parks PK,,,
Dayton Boys Prep Academy,,,
Welcome Stadium,,,
Dunbar High School,,,
Gardendale,,,
Cleveland,,,
Belle Haven,,,
Thurgood Marshall,,,
