Category,Description,$,%
Expense - Needs,Donation,250.0,0.033796257999999996
Expense - Wants,Entertainment,125.0,0.016898128999999998
Savings,Roth IRA,917.0,0.123964675
Expense - Needs,Auto Insurance,100.0,0.013518503000000001
Expense - Wants,Cable/Internet,100.0,0.013518503000000001
Expense - Needs,Car Payment,275.0,0.037175884
Expense - Needs,Health Insurance,395.0,0.053398087999999996
Expense - Needs,Auto Exp,225.0,0.030416632000000002
Expense - Needs,Groceries,250.0,0.033796257999999996
Expense - Needs,Children,1500.0,0.20277754899999997
Expense - Needs,Medical (HSA/FSA),225.0,0.030416632000000002
Income,Person 1,4034.8737869999995,0.545454545
Savings,0,1887.26861,0.25513046899999997
Expense - Needs,Life Insurance,60.0,0.008111102
Savings,Investment (Rental Prop),449.37786600000004,0.060749162
Expense - Wants,Cell Phone,100.0,0.013518503000000001
Savings,Emergency Fund,0.0,0.0
Expense - Needs,Rent/Mortgage,1650.0,0.22305530399999998
Savings,401(k),295.89074439999996,0.04
Savings,529 Plan,225.0,0.030416632000000002
Expense - Needs,Clothes,100.0,0.013518503000000001
Income,Person 2,3362.3948229999996,0.454545455
Expense - Needs,Utilities,155.0,0.02095368
