popularity,title,year,pg_rating,imdb_id,runtime,genre,imdb_rating,votes,gross_us,month
23.47,The Prestige,2006,PG-13,482571,130, Sci-Fi,8.5,1195533,53.09,10
9.827,Tangerines,2013,Not Rated,2991224,87, War,8.2,40862,0.14,10
19.405,Mystic River,2003,R,327056,138, Drama,7.9,420612,90.14,1
21.816999999999997,American Psycho,2000,R,144084,101, Drama,7.6,493812,15.07,4
29.134,Paddington 2,2017,PG,4468740,103, Comedy,7.8,62103,40.44,11
28.714000000000002,Reservoir Dogs,1992,R,105236,99, Thriller,8.3,922257,2.83,9
13.272,Singin' in the Rain,1952,G,45152,103,Comedy,8.3,219920,8.82,4
19.665,The Birds,1963,PG-13,56869,119, Mystery,7.7,172280,11.4,3
13.14,The World's Fastest Indian,2005,PG-13,412080,127,Biography,7.8,52067,5.13,10
18.363,Mulholland Drive,2001,R,166924,147, Mystery,7.9,323530,7.22,6
20.814,The Girl with the Dragon Tattoo,2011,R,1568346,158,Crime,7.8,424947,102.52,12
17.779,Tombstone,1993,R,108358,130, Drama,7.8,127299,56.51,12
11.84,True Grit,2010,PG-13,1403865,110,Drama,7.6,312868,171.24,12
19.849,American Gangster,2007,R,765429,157, Drama,7.8,393795,130.16,11
81.71,Spider-Man: Into the Spider-Verse,2018,PG,4633694,117, Adventure,8.4,379677,190.24,12
11.213,Battleship Potemkin,1925,Not Rated,15648,66, Thriller,8.0,53306,0.05,12
21.545,The Perks of Being a Wallflower,2012,PG-13,1659337,103, Romance,8.0,463965,17.74,9
48.413999999999994,Rogue One: A Star Wars Story,2016,PG-13,3748528,133, Adventure,7.8,558889,532.18,12
40.079,The Green Mile,1999,R,120689,189, Fantasy,8.6,1153309,136.8,12
16.896,Citizen Kane,1941,PG,33467,119,Drama,8.3,405257,1.59,4
83.24,Ratatouille,2007,G,382932,111, Comedy,8.0,644215,206.45,6
18.632,Brokeback Mountain,2005,R,388795,134, Romance,7.7,324194,83.04,9
15.562000000000001,Enter the Dragon,1973,R,70034,102,Action,7.7,96958,25.0,8
13.647,My Fair Lady,1964,G,58385,170,Drama,7.8,86808,72.0,10
14.953,Dirty Harry,1971,R,66999,102,Action,7.7,143759,35.9,7
15.078,Black Book,2006,R,389557,145,Drama,7.7,72793,4.4,9
16.621,Moon,2009,R,1182345,97, Mystery,7.9,335936,5.01,6
20.123,Shaun of the Dead,2004,R,365748,99, Horror,7.9,513632,13.54,4
9.648,Hamlet,1996,PG-13,116477,242,Drama,7.7,36061,4.41,12
41.458999999999996,Akira,1988,R,94625,124,Animation,8.0,165654,0.55,7
53.238,The Iron Giant,1999,PG,129167,86, Adventure,8.0,172640,23.16,8
12.735,Carlito's Way,1993,R,106519,144,Crime,7.9,201664,36.95,11
23.679000000000002,Star Trek Into Darkness,2013,PG-13,1408101,132,Action,7.7,463866,228.78,5
10.12,The Triplets of Belleville,2003,PG-13,286244,80,Animation,7.8,50688,7.0,6
8.675,Zindagi Na Milegi Dobara,2011,Not Rated,1562872,155, Drama,8.1,68148,3.11,7
10.742,Rang De Basanti,2006,Not Rated,405508,167,Comedy,8.2,112293,2.2,1
21.234,Oldboy,2003,R,364569,120, Mystery,8.4,517789,0.71,11
9.352,Rushmore,1998,R,128445,93, Romance,7.7,169685,17.11,12
104.594,Captain America: Civil War,2016,PG-13,3498820,147, Adventure,7.8,667295,408.08,4
29.421,Apocalypse Now,1979,R,78788,147,Drama,8.4,608758,83.47,8
13.870999999999999,Midnight in Paris,2011,PG-13,1605783,94,Comedy,7.7,389478,56.82,5
18.485,Fargo,1996,R,116282,98, Drama,8.1,619854,24.61,3
12.257,Three Colors: Blue,1993,R,108394,94,Drama,7.9,90435,1.32,9
11.790999999999999,Hunt for the Wilderpeople,2016,PG-13,4698684,101, Comedy,7.9,112324,5.2,3
27.774,Her,2013,R,1798709,126, Romance,8.0,543415,25.57,12
9.606,The Muppet Christmas Carol,1992,G,104940,85, Family,7.7,50419,27.28,12
34.846,Se7en,1995,R,114369,127,Crime,8.6,1452269,100.13,9
20.45,Who Framed Roger Rabbit,1988,PG,96438,104, Adventure,7.7,182480,156.45,6
15.309000000000001,A Bronx Tale,1993,R,106489,121,Crime,7.8,128665,17.27,9
13.008,Moonrise Kingdom,2012,PG-13,1748122,94,Comedy,7.8,319952,45.51,5
82.635,Guardians of the Galaxy Vol. 2,2017,PG-13,3896198,136,Action,7.6,573181,389.81,4
8.068,Tae Guk Gi: The Brotherhood of War,2004,R,386064,140,Action,8.1,37885,1.11,2
26.275,The Last Samurai,2003,R,325710,154,Action,7.7,401185,111.11,1
12.972000000000001,Empire of the Sun,1987,PG,92965,153,Action,7.7,116037,22.24,12
25.346999999999998,Zodiac,2007,R,443706,157, Drama,7.7,469160,33.08,3
15.628,The Straight Story,1999,G,166896,112, Drama,8.0,82375,6.2,10
27.601999999999997,Prisoners,2013,R,1392214,153,Crime,8.1,604471,61.0,9
21.098000000000003,Cast Away,2000,PG-13,162222,143, Romance,7.8,526513,233.63,12
17.307000000000002,Wind River,2017,R,5362988,107, Drama,7.7,207679,33.8,8
13.683,The Royal Tenenbaums,2001,R,265666,110,Comedy,7.6,267694,52.36,12
14.364,Barton Fink,1991,R,101410,116, Drama,7.7,113545,6.15,8
17.135,The Experiment,2001,R,250258,120,Drama,7.7,90952,0.14,7
13.062000000000001,In Bruges,2008,R,780536,107, Crime,7.9,391378,7.76,2
7.236000000000001,Barfi!,2012,Not Rated,2082197,151, Romance,8.1,75936,2.8,9
12.91,The Girl with the Dragon Tattoo,2009,R,1132620,152, Drama,7.8,209325,10.1,2
